name,city,cuisines,rating,budget_tier,address,vegetarian,source
Murugan Idli Shop,Chennai,South Indian | Vegetarian,4.5,Under Rs 500,"T Nagar, Chennai",Yes,https://wibest.in/restaurants/chennai/
Saravana Bhavan,Chennai,South Indian | Vegetarian,4.5,Under Rs 500,"Cathedral Road, Chennai",Yes,https://wibest.in/restaurants/chennai/
Ponnusamy Hotel,Chennai,Chettinad | South Indian | Non-Veg,4.4,Rs 500-2000,"Egmore, Chennai",Yes,https://wibest.in/restaurants/chennai/
Dakshin,Chennai,South Indian | Fine Dining | Chettinad,4.6,Rs 2000+,"ITC Grand Chola, Guindy",Yes,https://wibest.in/restaurants/chennai/
Dhaba Express,Chennai,North Indian | Punjabi,4.2,Under Rs 500,"Anna Nagar, Chennai",Yes,https://wibest.in/restaurants/chennai/
Junior Kuppanna,Chennai,South Indian | Biryani | Chettinad,4.3,Rs 500-2000,"Egmore, Chennai",Yes,https://wibest.in/restaurants/chennai/
Benjarong,Chennai,Thai | Fine Dining,4.5,Rs 2000+,"Dakshin Hotel, TTK Road",Yes,https://wibest.in/restaurants/chennai/
Anjappar,Chennai,Chettinad | South Indian,4.3,Rs 500-2000,"Multiple outlets, Chennai",Yes,https://wibest.in/restaurants/chennai/
Peshawri Chennai,Chennai,North Indian | Tandoor | Fine Dining,4.5,Rs 2000+,"ITC Grand Chola, Guindy",Yes,https://wibest.in/restaurants/chennai/
Southern Spice,Chennai,South Indian | Chettinad | Fine Dining,4.6,Rs 2000+,"Taj Coromandel, Nungambakkam",Yes,https://wibest.in/restaurants/chennai/
Avartana,Chennai,Modern Indian | South Indian | Fine Dining,4.7,Rs 2000+,"ITC Grand Chola, Guindy",Yes,https://wibest.in/restaurants/chennai/
The Flying Elephant,Chennai,Continental | Asian | Fine Dining,4.5,Rs 2000+,"Park Hyatt, Velachery",Yes,https://wibest.in/restaurants/chennai/
Royal Vega,Chennai,Vegetarian | North Indian | Fine Dining,4.6,Rs 2000+,"ITC Grand Chola, Guindy",Yes,https://wibest.in/restaurants/chennai/
Buhari Hotel,Chennai,Biryani | North Indian | Kebabs,4.2,Rs 500-2000,"Anna Salai, Mount Road",Yes,https://wibest.in/restaurants/chennai/
Ente Keralam,Chennai,Kerala | South Indian | Seafood,4.4,Rs 500-2000,"Poes Garden, Teynampet",Yes,https://wibest.in/restaurants/chennai/
Kaaraikudi,Chennai,Chettinad | South Indian | Biryani,4.3,Rs 500-2000,T Nagar,Yes,https://wibest.in/restaurants/chennai/
Sangeetha Veg Restaurant,Chennai,South Indian | North Indian | Vegetarian,4.2,Rs 500-2000,Nungambakkam,Yes,https://wibest.in/restaurants/chennai/
Adyar Ananda Bhavan,Chennai,South Indian | Vegetarian | Desserts,4.3,Under Rs 500,Adyar,Yes,https://wibest.in/restaurants/chennai/
Copper Chimney,Chennai,North Indian | Tandoor | Kebabs,4.3,Rs 500-2000,Greams Road,Yes,https://wibest.in/restaurants/chennai/
Cream Centre,Chennai,Vegetarian | Continental | Mexican,4.2,Rs 500-2000,RA Puram,Yes,https://wibest.in/restaurants/chennai/
Tuscana Pizzeria,Chennai,Italian | Pizza | Continental,4.4,Rs 500-2000,"Khader Nawaz Khan Road, Nungambakkam",Yes,https://wibest.in/restaurants/chennai/
Amethyst Cafe,Chennai,Cafe | Continental | Brunch,4.4,Rs 500-2000,Royapettah,Yes,https://wibest.in/restaurants/chennai/
Writer's Cafe,Chennai,Cafe | Continental | Bakery,4.5,Rs 500-2000,Gopalapuram,Yes,https://wibest.in/restaurants/chennai/
Ciclo Cafe,Chennai,Cafe | Continental | Italian,4.4,Rs 500-2000,RA Puram,Yes,https://wibest.in/restaurants/chennai/
Madras Pavilion,Chennai,South Indian | North Indian | Family,4.3,Rs 2000+,"ITC Grand Chola, Guindy",Yes,https://wibest.in/restaurants/chennai/
Zaitoon,Chennai,North Indian | Biryani | Kebabs,4.2,Rs 500-2000,"OMR, Thoraipakkam",Yes,https://wibest.in/restaurants/chennai/
Yumbox,Chennai,Asian | Continental | Cafe,4.3,Rs 500-2000,Anna Nagar,Yes,https://wibest.in/restaurants/chennai/
Eden Chennai,Chennai,Continental | Asian | Fine Dining,4.4,Rs 2000+,"The Park, Nungambakkam",Yes,https://wibest.in/restaurants/chennai/
Zara Tapas Bar,Chennai,Continental | Bar | Mexican,4.3,Rs 2000+,"Khader Nawaz Khan Road, Nungambakkam",Yes,https://wibest.in/restaurants/chennai/
Ministry of Beer Chennai,Chennai,Brewery | Continental | Bar,4.2,Rs 500-2000,"Phoenix Marketcity, Velachery",Yes,https://wibest.in/restaurants/chennai/
