name,city,type,beds,rating,specialties,nabh,address,source
Kovai Medical Center and Hospital (KMCH),Coimbatore,Private,1100,4.6,Cardiac Sciences | Neurology | Oncology | Orthopedics | Transplant,true,"Avanashi Road, Coimbatore 641014",https://wibest.in/hospitals/coimbatore/
PSG Hospitals,Coimbatore,Trust,900,4.5,Cardiac Sciences | Neurology | Oncology | Orthopedics | Paediatrics,true,"Peelamedu, Coimbatore 641004",https://wibest.in/hospitals/coimbatore/
Ganga Hospital,Coimbatore,Private,300,4.7,Orthopedics | Trauma | Plastic Surgery | Joint Replacement,true,"313, Mettupalayam Road, Coimbatore 641043",https://wibest.in/hospitals/coimbatore/
Sri Ramakrishna Hospital,Coimbatore,Private,540,4.4,Cardiac Sciences | Neurology | Oncology | General Medicine,true,"395, Sarojini Naidu Road, Coimbatore 641044",https://wibest.in/hospitals/coimbatore/
Coimbatore Medical College Hospital,Coimbatore,Government,1050,4.1,General Medicine | Surgery | Orthopedics | Paediatrics | Trauma,true,"Trichy Road, Coimbatore 641018",https://wibest.in/hospitals/coimbatore/
GEM Hospital,Coimbatore,Private,200,4.5,Gastroenterology | Bariatric Surgery | Liver Transplant,true,"45/A, Pankaja Mill Road, Ramanathapuram, Coimbatore 641045",https://wibest.in/hospitals/coimbatore/
Royal Care Super Speciality Hospital,Coimbatore,Private,300,4.3,Cardiac Sciences | Neurology | Orthopedics | Oncology,true,"Neelambur, Sulur, Coimbatore 641062",https://wibest.in/hospitals/coimbatore/
Sri Kuppuswamy Naidu Memorial Hospital (KMH),Coimbatore,Trust,350,4.4,Cardiac Sciences | Orthopedics | General Medicine | Paediatrics,true,"Pappanaickenpalayam, Coimbatore 641037",https://wibest.in/hospitals/coimbatore/
Aravind Eye Hospital Coimbatore,Coimbatore,Trust,250,4.7,Eye Care | Cataract | Retina,true,"Avinashi Road, Civil Aerodrome Post, Coimbatore 641014",https://wibest.in/hospitals/coimbatore/
Lotus Eye Hospital Coimbatore,Coimbatore,Private,120,4.5,Eye Care | Cataract | Retina | Cornea,true,"77, R T O Road, Avinashi Road, Coimbatore 641014",https://wibest.in/hospitals/coimbatore/
