name,city,type,beds,rating,specialties,nabh,address,source
AMRI Hospital Salt Lake,Kolkata,Private,450,4.4,Cardiac Sciences | Neurology | Oncology | Orthopedics | Gastroenterology,,"JC-16 & 17, Salt Lake City, Sector III, Kolkata 700098",https://wibest.in/hospitals/kolkata/
Fortis Anandapur,Kolkata,Private,400,4.3,Cardiac Sciences | Neurology | Oncology | Renal Sciences | Transplant,,"730 EM Bypass, Anandapur, Kolkata 700107",https://wibest.in/hospitals/kolkata/
Apollo Gleneagles Kolkata,Kolkata,Private,510,4.4,Cardiac Sciences | Neurology | Oncology | Transplant | Gastroenterology,,"58, Canal Circular Road, Kadapara, Kolkata 700054",https://wibest.in/hospitals/kolkata/
Medica Superspecialty,Kolkata,Private,400,4.3,Cardiac Sciences | Neurology | Transplant | Oncology | Orthopedics,,"127 Mukundapur, EM Bypass, Kolkata 700099",https://wibest.in/hospitals/kolkata/
Tata Medical Center,Kolkata,Trust,460,4.6,Oncology | Bone Marrow Transplant | Surgical Oncology | Paediatric Oncology,,"14 MAR (E-W), New Town, Rajarhat, Kolkata 700160",https://wibest.in/hospitals/kolkata/
BM Birla Heart Research,Kolkata,Private,200,4.5,Cardiology | Cardiac Surgery | Vascular Surgery | Paediatric Cardiac,,"1/1 National Library Avenue, Alipore, Kolkata 700027",https://wibest.in/hospitals/kolkata/
Peerless Hospital,Kolkata,Private,350,4.2,Cardiac Sciences | Neurology | Gastroenterology | Orthopedics | Renal Sciences,,"360 Panchasayar, Kolkata 700094",https://wibest.in/hospitals/kolkata/
Woodlands Hospital,Kolkata,Private,350,4.2,Cardiac Sciences | Neurology | Gastroenterology | General Medicine | Gynaecology,,"8/5 Alipore Road, Kolkata 700027",https://wibest.in/hospitals/kolkata/
SSKM Hospital,Kolkata,Government,2000,4.2,General Medicine | Surgery | Trauma | Burns | Paediatrics,,"244 AJC Bose Road, Bhowanipore, Kolkata 700020",https://wibest.in/hospitals/kolkata/
RN Tagore International,Kolkata,Private,300,4.3,Cardiac Sciences | Neurology | Orthopedics | Gastroenterology | Oncology,,"Premises 1489, Mukundapur, EM Bypass, Kolkata 700099",https://wibest.in/hospitals/kolkata/
Belle Vue Clinic,Kolkata,Private,180,4.3,General Medicine | Cardiac Sciences | Neurology | Gastroenterology | Gynaecology,,"9 Dr UN Brahmachari Street, Kolkata 700017",https://wibest.in/hospitals/kolkata/
Ruby General Hospital,Kolkata,Private,350,4.2,Cardiac Sciences | Neurology | Orthopedics | Oncology | Gastroenterology,,"576 Anandapur, EM Bypass, Kolkata 700107",https://wibest.in/hospitals/kolkata/
Narayana Multispeciality Howrah,Kolkata,Private,300,4.3,Cardiac Sciences | Neurology | Orthopedics | Gastroenterology | Paediatrics,,"120/1 Andul Road, Howrah 711103",https://wibest.in/hospitals/kolkata/
CMRI Kolkata,Kolkata,Private,300,4.2,Cardiac Sciences | Neurology | Gastroenterology | Orthopedics | Urology,,"7/2 Diamond Harbour Road, Alipore, Kolkata 700027",https://wibest.in/hospitals/kolkata/
Chittaranjan Cancer Institute,Kolkata,Government,350,4.3,Oncology | Surgical Oncology | Radiation Oncology | Gynae Oncology,,"37 SP Mukherjee Road, Kolkata 700026",https://wibest.in/hospitals/kolkata/
NRS Medical College,Kolkata,Government,1600,4.0,General Medicine | Surgery | Trauma | Paediatrics,,"138 AJC Bose Road, Sealdah, Kolkata 700014",https://wibest.in/hospitals/kolkata/
ILS Hospital Dumdum,Kolkata,Private,250,4.1,Cardiac Sciences | Neurology | Gastroenterology | Orthopedics | General Medicine,,"DD-6, Sector 1, Salt Lake City, Kolkata 700064",https://wibest.in/hospitals/kolkata/
Desun Hospital,Kolkata,Private,200,4.2,Cardiac Sciences | Neurology | Orthopedics | Gastroenterology | Critical Care,,"Desun More, Kasba Golpark, EM Bypass, Kolkata 700107",https://wibest.in/hospitals/kolkata/
Manipal Hospital Kolkata,Kolkata,Private,350,4.3,Cardiac Sciences | Neurology | Oncology | Transplant | Gastroenterology,,"Plot No 130, Action Area III, Newtown, Kolkata 700156",https://wibest.in/hospitals/kolkata/
EKO Superspeciality,Kolkata,Private,200,4.1,Cardiac Sciences | Neurology | Gastroenterology | Orthopedics | Urology,,"Diamond Harbour Road, Kolkata 700053",https://wibest.in/hospitals/kolkata/
AMRI Hospital Dhakuria,Kolkata,Private,350,4.1,Cardiology | Neurology | Oncology | Orthopedics | Gastroenterology | Nephrology,,"P-4 & 5, Block A, Gariahat Road, Dhakuria, Kolkata 700029",https://wibest.in/hospitals/kolkata/
AMRI Hospital Mukundapur,Kolkata,Private,300,4.0,Cardiac Surgery | Neurosurgery | Oncology | Orthopedics | Urology | Critical Care,,"Plot 230, Scheme XM, Mukundapur, EM Bypass, Kolkata 700099",https://wibest.in/hospitals/kolkata/
Calcutta National Medical College and Hospital,Kolkata,Government,1100,3.8,General Medicine | Surgery | Cardiology | Neurology | Paediatrics | Gynaecology | Trauma,,"32, Gorachand Road, Beniapukur, Kolkata 700014",https://wibest.in/hospitals/kolkata/
Bhagirathi Neotia Woman and Child Care Centre,Kolkata,Private,80,4.3,Gynaecology | IVF | Maternity | Paediatrics | Neonatology,,"D 1/2, Action Area 1, Newtown, Rajarhat, Kolkata 700156",https://wibest.in/hospitals/kolkata/
Disha Eye Hospital Barrackpore,Kolkata,Private,120,4.5,Ophthalmology | Cataract | Retina,,"88(63A), Ghoshpara Road, Barrackpore, Kolkata 700120",https://wibest.in/hospitals/kolkata/
Susrut Eye Foundation and Research Centre,Kolkata,Trust,100,4.4,Ophthalmology | Cataract | Retina,,"HB-36/A/1, Sector III, Salt Lake City, Kolkata 700106",https://wibest.in/hospitals/kolkata/
Institute of Child Health Kolkata,Kolkata,Trust,200,4.2,Paediatrics | Neonatology | Surgery,,"11, Dr Biresh Guha Street, Kolkata 700017",https://wibest.in/hospitals/kolkata/
Bangur Institute of Neurosciences,Kolkata,Government,280,3.9,Neurology | Neurosurgery | Neurosciences,,"52/1A, S N Pandit Street, Bhowanipore, Kolkata 700025",https://wibest.in/hospitals/kolkata/
Charnock Hospital,Kolkata,Private,200,4.0,Cardiology | Neurology | Orthopedics | Gastroenterology | Nephrology | Critical Care,,"Junction of New Town & Rajarhat Main Road, Teghoria, Kolkata 700157",https://wibest.in/hospitals/kolkata/
Genesis Hospital Kolkata,Kolkata,Private,90,4.0,Cardiology | Orthopedics | Gastroenterology | General Medicine | Critical Care,,"68, Canal Circular Road, Kankurgachi, Kolkata 700054",https://wibest.in/hospitals/kolkata/
