name,city,cuisines,rating,budget_tier,address,vegetarian,source
Pal Dhaba,Chandigarh,North Indian | Punjabi | Non-Veg,4.4,Under Rs 500,"Sector 28, Chandigarh",No,https://wibest.in/restaurants/chandigarh/
Virgin Courtyard,Chandigarh,Italian | Continental | Fine Dining,4.4,Rs 2000+,"Sector 7, Chandigarh",Yes,https://wibest.in/restaurants/chandigarh/
Ghazal,Chandigarh,North Indian | Mughlai,4.3,Rs 500-2000,"Sector 17, Chandigarh",No,https://wibest.in/restaurants/chandigarh/
Swagath,Chandigarh,South Indian | Chettinad | Biryani,4.3,Rs 500-2000,"Sector 26, Chandigarh",No,https://wibest.in/restaurants/chandigarh/
Whistling Duck,Chandigarh,Continental | Brewery | Pizza,4.3,Rs 500-2000,"Elante Mall, Chandigarh",Yes,https://wibest.in/restaurants/chandigarh/
Nik Baker's,Chandigarh,Cafe | Bakery | Continental,4.3,Rs 500-2000,"Sector 9, Chandigarh",Yes,https://wibest.in/restaurants/chandigarh/
Backpackers Cafe,Chandigarh,Cafe | Continental,4.4,Rs 500-2000,Sector 9,Yes,https://wibest.in/restaurants/chandigarh/
Pirates of Grill,Chandigarh,BBQ | North Indian,4.3,Rs 2000+,Elante Mall,Yes,https://wibest.in/restaurants/chandigarh/
Hops n Grains,Chandigarh,Brewery | Continental,4.3,Rs 2000+,Sector 26,Yes,https://wibest.in/restaurants/chandigarh/
Gopal Sweets,Chandigarh,Sweets | North Indian,4.3,Under Rs 500,Sector 35,Yes,https://wibest.in/restaurants/chandigarh/
Sindhi Sweets,Chandigarh,Sweets | Street Food,4.2,Under Rs 500,Sector 17,Yes,https://wibest.in/restaurants/chandigarh/
Bhoj Chandigarh,Chandigarh,North Indian | Family,4.3,Rs 500-2000,Sector 22,Yes,https://wibest.in/restaurants/chandigarh/
Saffron JW Marriott,Chandigarh,North Indian | Mughlai | Fine Dining,4.4,Rs 2000+,"JW Marriott, Sector 35",Yes,https://wibest.in/restaurants/chandigarh/
Black Lotus Taj,Chandigarh,Pan-Asian | Chinese | Fine Dining,4.4,Rs 2000+,"Taj, Sector 17",Yes,https://wibest.in/restaurants/chandigarh/
Garlic and Greens,Chandigarh,Mediterranean | Italian,4.5,Rs 2000+,Sector 26,Yes,https://wibest.in/restaurants/chandigarh/
The Brew Estate,Chandigarh,Brewery | Continental,4.3,Rs 2000+,Sector 26,Yes,https://wibest.in/restaurants/chandigarh/
Brewmaster,Chandigarh,Brewery | North Indian,4.2,Rs 2000+,Sector 26,Yes,https://wibest.in/restaurants/chandigarh/
Olive Garden Panchkula,Chandigarh,North Indian | Continental,4.2,Rs 500-2000,"Sector 5, Panchkula",Yes,https://wibest.in/restaurants/chandigarh/
Mehfil Chandigarh,Chandigarh,North Indian | Mughlai,4.1,Rs 500-2000,Sector 17,Yes,https://wibest.in/restaurants/chandigarh/
Khyber Chandigarh,Chandigarh,North Indian | Mughlai,4.2,Rs 2000+,Sector 35,Yes,https://wibest.in/restaurants/chandigarh/
Barbeque Nation Chandigarh,Chandigarh,BBQ | North Indian,4.3,Rs 2000+,Sector 26,Yes,https://wibest.in/restaurants/chandigarh/
Sagar Ratna Chandigarh,Chandigarh,South Indian | Vegetarian,4.0,Rs 500-2000,Sector 17,Yes,https://wibest.in/restaurants/chandigarh/
Yellow Chilli,Chandigarh,North Indian | Mughlai,4.2,Rs 500-2000,Elante Mall,Yes,https://wibest.in/restaurants/chandigarh/
The Willow Cafe,Chandigarh,Cafe | Continental,4.4,Rs 500-2000,Sector 9,Yes,https://wibest.in/restaurants/chandigarh/
Cafe JCs,Chandigarh,Cafe | Italian,4.4,Rs 500-2000,Sector 7,Yes,https://wibest.in/restaurants/chandigarh/
Tehal Singh's Chicken,Chandigarh,North Indian | Punjabi,4.2,Rs 500-2000,Sector 23,Yes,https://wibest.in/restaurants/chandigarh/
Katani Dhaba,Chandigarh,North Indian | Punjabi,4.3,Under Rs 500,Sector 28,Yes,https://wibest.in/restaurants/chandigarh/
Peddlers,Chandigarh,Continental | North Indian,4.2,Rs 500-2000,Sector 35,Yes,https://wibest.in/restaurants/chandigarh/
Swagath Chandigarh,Chandigarh,South Indian | Coastal,4.3,Rs 2000+,Sector 26,Yes,https://wibest.in/restaurants/chandigarh/
Underdoggs Sports Bar,Chandigarh,Continental | Bar | Pub,4.2,Rs 2000+,Elante Mall,Yes,https://wibest.in/restaurants/chandigarh/
