name,city,type,beds,rating,specialties,nabh,address,source
Sawai Man Singh (SMS) Hospital,Jaipur,Government,2400,4.4,Cardiac Sciences | Neurology | Oncology | Orthopedics | Trauma | Transplant,,"JLN Marg, Jaipur 302004",https://wibest.in/hospitals/jaipur/
Fortis Escorts Hospital Jaipur,Jaipur,Private,200,4.5,Cardiac Sciences | Cardiac Surgery | Vascular Surgery,,"JLN Marg, Malviya Nagar, Jaipur 302017",https://wibest.in/hospitals/jaipur/
Eternal Hospital,Jaipur,Private,200,4.4,Cardiac Sciences | Cardiac Surgery | Neurology | Critical Care,,"3A, Jagatpura Road, Near Jawahar Circle, Jaipur 302017",https://wibest.in/hospitals/jaipur/
Narayana Multispeciality Hospital Jaipur,Jaipur,Private,200,4.4,Cardiac Sciences | Neurology | Oncology | Orthopedics,,"Sector 28, Pratap Nagar, Tonk Road, Jaipur 302033",https://wibest.in/hospitals/jaipur/
Bhagwan Mahaveer Cancer Hospital,Jaipur,Trust,300,4.5,Oncology | Surgical Oncology | Radiation Oncology | Bone Marrow Transplant,,"JLN Marg, Jaipur 302017",https://wibest.in/hospitals/jaipur/
Soni Hospital,Jaipur,Private,250,4.3,Cardiac Sciences | Orthopedics | Gynaecology | General Medicine,,"38, Kanota Bagh, JLN Marg, Jaipur 302004",https://wibest.in/hospitals/jaipur/
Manipal Hospital Jaipur,Jaipur,Private,225,4.4,Cardiac Sciences | Neurology | Oncology | Orthopedics | Liver Transplant,,"Sector 5, Vidhyadhar Nagar, Jaipur 302039",https://wibest.in/hospitals/jaipur/
CK Birla Hospital Jaipur,Jaipur,Private,160,4.4,Cardiac Sciences | Neurology | Oncology | Gynaecology,,"Gopalpura Bypass, Riddhi Siddhi Choraha, Jaipur 302018",https://wibest.in/hospitals/jaipur/
EHCC Hospital Jaipur,Jaipur,Private,100,4.4,Cardiac Sciences | Cardiac Surgery | Critical Care,,"Adjacent Eternal Hospital, Jagatpura Road, Jaipur 302017",https://wibest.in/hospitals/jaipur/
Rukmani Birla Hospital,Jaipur,Private,120,4.3,Cardiac Sciences | Orthopedics | General Medicine | Gynaecology,,"Gopalpura Bypass, Triveni Nagar, Jaipur 302018",https://wibest.in/hospitals/jaipur/
