name,city,cuisines,rating,budget_tier,address,vegetarian,source
Bukhara,Delhi,North Indian | Mughlai | Fine Dining,4.7,Rs 2000+,"ITC Maurya, Sardar Patel Marg",Yes,https://wibest.in/restaurants/delhi/
Indian Accent,Delhi,Modern Indian | Fine Dining,4.8,Rs 2000+,"The Lodhi, Lodhi Road",Yes,https://wibest.in/restaurants/delhi/
Karim's,Delhi,Mughlai | North Indian | Street Food,4.5,Under Rs 500,"Jama Masjid, Old Delhi",Yes,https://wibest.in/restaurants/delhi/
Paranthe Wali Gali,Delhi,North Indian | Street Food | Vegetarian,4.2,Under Rs 500,"Chandni Chowk, Old Delhi",No,https://wibest.in/restaurants/delhi/
Saravana Bhavan,Delhi,South Indian | Vegetarian,4.4,Under Rs 500,"Connaught Place, New Delhi",Yes,https://wibest.in/restaurants/delhi/
SodaBottleOpenerWala,Delhi,Parsi | Cafe | Continental,4.3,Rs 500-2000,"Khan Market, New Delhi",Yes,https://wibest.in/restaurants/delhi/
Moti Mahal,Delhi,North Indian | Mughlai,4.3,Rs 500-2000,"Daryaganj, Old Delhi",Yes,https://wibest.in/restaurants/delhi/
Farzi Cafe,Delhi,Modern Indian | Continental | Cafe,4.4,Rs 500-2000,Connaught Place,Yes,https://wibest.in/restaurants/delhi/
Trishna,Mumbai,Seafood | South Indian | Crab,4.6,Rs 500-2000,"Kala Ghoda, Fort",Yes,https://wibest.in/restaurants/mumbai/
Leopold Cafe,Mumbai,Continental | Cafe | North Indian,4.3,Rs 500-2000,Colaba Causeway,Yes,https://wibest.in/restaurants/mumbai/
Bademiya,Mumbai,Mughlai | Street Food | Kebabs,4.4,Under Rs 500,"Tulloch Road, Colaba",No,https://wibest.in/restaurants/mumbai/
The Bombay Canteen,Mumbai,Modern Indian | Continental,4.6,Rs 2000+,"Kamala Mills, Lower Parel",Yes,https://wibest.in/restaurants/mumbai/
Britannia & Co,Mumbai,Parsi | Iranian | Cafe,4.5,Under Rs 500,"Ballard Estate, Fort",Yes,https://wibest.in/restaurants/mumbai/
Swati Snacks,Mumbai,Street Food | Vegetarian | Gujarati,4.5,Under Rs 500,"Tardeo, Mumbai",Yes,https://wibest.in/restaurants/mumbai/
Peshawri,Mumbai,North Indian | Mughlai | Fine Dining,4.6,Rs 2000+,"ITC Maratha, Andheri",Yes,https://wibest.in/restaurants/mumbai/
Bastian,Mumbai,Seafood | Continental | Fine Dining,4.5,Rs 2000+,Bandra West,Yes,https://wibest.in/restaurants/mumbai/
Murugan Idli Shop,Chennai,South Indian | Vegetarian,4.5,Under Rs 500,"T Nagar, Chennai",Yes,https://wibest.in/restaurants/chennai/
Saravana Bhavan,Chennai,South Indian | Vegetarian,4.5,Under Rs 500,"Cathedral Road, Chennai",Yes,https://wibest.in/restaurants/chennai/
Ponnusamy Hotel,Chennai,Chettinad | South Indian | Non-Veg,4.4,Rs 500-2000,"Egmore, Chennai",Yes,https://wibest.in/restaurants/chennai/
Dakshin,Chennai,South Indian | Fine Dining | Chettinad,4.6,Rs 2000+,"ITC Grand Chola, Guindy",Yes,https://wibest.in/restaurants/chennai/
Dhaba Express,Chennai,North Indian | Punjabi,4.2,Under Rs 500,"Anna Nagar, Chennai",Yes,https://wibest.in/restaurants/chennai/
