name,city,cuisines,rating,budget_tier,address,vegetarian,source
Vaishali,Pune,South Indian | Vegetarian | Breakfast,4.5,Under Rs 500,"FC Road, Pune",Yes,https://wibest.in/restaurants/pune/
Shabree,Pune,Maharashtrian | Thali | Vegetarian,4.4,Rs 500-2000,"Karve Road, Pune",Yes,https://wibest.in/restaurants/pune/
Malaka Spice,Pune,Pan-Asian | Thai | Fine Dining,4.4,Rs 2000+,"Koregaon Park, Pune",Yes,https://wibest.in/restaurants/pune/
German Bakery,Pune,Cafe | Continental | Bakery,4.3,Rs 500-2000,"Koregaon Park, Pune",Yes,https://wibest.in/restaurants/pune/
Blue Nile,Pune,Mughlai | Biryani | North Indian,4.3,Rs 500-2000,"Camp, Pune",Yes,https://wibest.in/restaurants/pune/
Durga,Pune,Maharashtrian | Indian | Thali,4.2,Under Rs 500,"Tilak Road, Pune",Yes,https://wibest.in/restaurants/pune/
Marz-o-rin,Pune,Cafe | Bakery | Continental,4.3,Rs 500-2000,"MG Road, Camp, Pune",Yes,https://wibest.in/restaurants/pune/
Dario's,Pune,Italian | Fine Dining,4.5,Rs 2000+,"Koregaon Park, Pune",Yes,https://wibest.in/restaurants/pune/
Le Plaisir,Pune,French | Continental | Fine Dining,4.5,Rs 2000+,Koregaon Park,Yes,https://wibest.in/restaurants/pune/
Arthur's Theme,Pune,Continental | Italian | Fine Dining,4.5,Rs 2000+,Koregaon Park,Yes,https://wibest.in/restaurants/pune/
The Flour Works,Pune,Cafe | Bakery | Continental,4.5,Rs 500-2000,Koregaon Park,Yes,https://wibest.in/restaurants/pune/
Prem's,Pune,North Indian | Continental | Family,4.3,Rs 500-2000,Koregaon Park,Yes,https://wibest.in/restaurants/pune/
ABC Farms,Pune,Continental | Italian | Family,4.2,Rs 500-2000,Koregaon Park,Yes,https://wibest.in/restaurants/pune/
Sigree Global Grill,Pune,BBQ | North Indian | Kebabs,4.3,Rs 500-2000,Viman Nagar,Yes,https://wibest.in/restaurants/pune/
The Great Punjab,Pune,North Indian | Tandoor | Family,4.3,Rs 500-2000,Aundh,Yes,https://wibest.in/restaurants/pune/
Poona Guest House,Pune,Maharashtrian | Seafood | Coastal,4.3,Rs 500-2000,Narayan Peth,Yes,https://wibest.in/restaurants/pune/
Janseva Bhojanalay,Pune,Maharashtrian | Vegetarian | Family,4.3,Under Rs 500,Sadashiv Peth,Yes,https://wibest.in/restaurants/pune/
Sukanta,Pune,Vegetarian | Maharashtrian | Family,4.2,Rs 500-2000,Shivaji Nagar,Yes,https://wibest.in/restaurants/pune/
Goodluck Cafe,Pune,Iranian | Cafe | Bakery,4.3,Under Rs 500,Deccan Gymkhana,Yes,https://wibest.in/restaurants/pune/
Wadeshwar,Pune,South Indian | Maharashtrian | Vegetarian,4.3,Under Rs 500,FC Road,Yes,https://wibest.in/restaurants/pune/
Kayani Bakery,Pune,Bakery | Cafe | Desserts,4.5,Under Rs 500,"East Street, Camp",Yes,https://wibest.in/restaurants/pune/
Cafe 1730,Pune,Cafe | Continental | Brunch,4.4,Rs 500-2000,Koregaon Park,Yes,https://wibest.in/restaurants/pune/
The Place Touche the Sizzler,Pune,Continental | Family,4.4,Rs 500-2000,"Moledina Road, Camp",Yes,https://wibest.in/restaurants/pune/
Pasha,Pune,Continental | Asian | Fine Dining,4.3,Rs 2000+,"JW Marriott, Senapati Bapat Road",Yes,https://wibest.in/restaurants/pune/
Spice Kitchen,Pune,North Indian | Asian | Fine Dining,4.4,Rs 2000+,"JW Marriott, Senapati Bapat Road",Yes,https://wibest.in/restaurants/pune/
Effingut Brewerkz,Pune,Brewery | Continental | Bar,4.4,Rs 2000+,Koregaon Park,Yes,https://wibest.in/restaurants/pune/
Independence Brewing Company,Pune,Brewery | Continental | Pub,4.4,Rs 2000+,Koregaon Park,Yes,https://wibest.in/restaurants/pune/
Toit Pune,Pune,Brewery | Continental | Bar,4.4,Rs 2000+,Viman Nagar,Yes,https://wibest.in/restaurants/pune/
Euriska,Pune,Continental | Italian | Fine Dining,4.4,Rs 2000+,Baner,Yes,https://wibest.in/restaurants/pune/
Savya Rasa,Pune,South Indian | Chettinad | Kerala,4.5,Rs 500-2000,Koregaon Park,Yes,https://wibest.in/restaurants/pune/
