name,city,cuisines,rating,budget_tier,address,vegetarian,source
Peter Cat,Kolkata,Continental | North Indian,4.5,Rs 500-2000,"Park Street, Kolkata",Yes,https://wibest.in/restaurants/kolkata/
6 Ballygunge Place,Kolkata,Bengali | Fine Dining,4.5,Rs 500-2000,"Ballygunge, Kolkata",Yes,https://wibest.in/restaurants/kolkata/
Arsalan,Kolkata,Biryani | Mughlai,4.5,Under Rs 500,"Park Circus, Kolkata",Yes,https://wibest.in/restaurants/kolkata/
Oh! Calcutta,Kolkata,Bengali | Fine Dining,4.4,Rs 2000+,"Forum Mall, Elgin Road",Yes,https://wibest.in/restaurants/kolkata/
Kewpie's,Kolkata,Bengali | Home-style,4.6,Rs 500-2000,"Elgin Lane, Kolkata",Yes,https://wibest.in/restaurants/kolkata/
Flurys,Kolkata,Cafe | Bakery | Continental,4.4,Rs 500-2000,"Park Street, Kolkata",Yes,https://wibest.in/restaurants/kolkata/
Bhojohori Manna,Kolkata,Bengali | Family | Casual,4.3,Rs 500-2000,"Ekdalia Road, Ballygunge",Yes,https://wibest.in/restaurants/kolkata/
Aminia,Kolkata,Biryani | Mughlai | Kebabs,4.2,Rs 500-2000,"New Market, Esplanade",Yes,https://wibest.in/restaurants/kolkata/
Royal Indian Hotel,Kolkata,Mughlai | Biryani | Kebabs,4.4,Rs 500-2000,"Chitpur, Rabindra Sarani",Yes,https://wibest.in/restaurants/kolkata/
Shiraz Golden Restaurant,Kolkata,Biryani | Mughlai | Kebabs,4.2,Rs 500-2000,Park Circus,Yes,https://wibest.in/restaurants/kolkata/
Mocambo,Kolkata,Continental | Chinese,4.4,Rs 2000+,Park Street,Yes,https://wibest.in/restaurants/kolkata/
Trincas,Kolkata,Continental | Chinese | Bar,4.3,Rs 500-2000,Park Street,Yes,https://wibest.in/restaurants/kolkata/
Balaram Mullick and Radharaman Mullick,Kolkata,Sweets | Desserts | Bengali,4.5,Rs 500-2000,Bhowanipore,Yes,https://wibest.in/restaurants/kolkata/
K C Das,Kolkata,Sweets | Desserts | Bengali,4.3,Under Rs 500,Esplanade,Yes,https://wibest.in/restaurants/kolkata/
Tung Nam,Kolkata,Chinese | Asian,4.3,Under Rs 500,Tiretti Bazaar,Yes,https://wibest.in/restaurants/kolkata/
Eau Chew,Kolkata,Chinese | Asian | Family,4.4,Rs 500-2000,Ganesh Chandra Avenue,Yes,https://wibest.in/restaurants/kolkata/
Kim Ling,Kolkata,Chinese | Asian,4.2,Rs 500-2000,Tangra,Yes,https://wibest.in/restaurants/kolkata/
Beijing Restaurant,Kolkata,Chinese | Asian | Family,4.3,Rs 500-2000,Tangra,Yes,https://wibest.in/restaurants/kolkata/
Bar-B-Q,Kolkata,Chinese | Continental | Bar,4.3,Rs 2000+,Park Street,Yes,https://wibest.in/restaurants/kolkata/
Kasturi Restaurant,Kolkata,Bengali | Family,4.3,Rs 500-2000,Mirza Ghalib Street,Yes,https://wibest.in/restaurants/kolkata/
Kookie Jar,Kolkata,Bakery | Desserts | Cafe,4.5,Rs 500-2000,Rawdon Street,Yes,https://wibest.in/restaurants/kolkata/
Nahoum and Sons,Kolkata,Bakery | Desserts,4.5,Under Rs 500,New Market,Yes,https://wibest.in/restaurants/kolkata/
The Bhoj Company,Kolkata,Bengali | Family,4.3,Rs 500-2000,Salt Lake,Yes,https://wibest.in/restaurants/kolkata/
Saptapadi,Kolkata,Bengali | Family,4.2,Rs 500-2000,Salt Lake Sector V,Yes,https://wibest.in/restaurants/kolkata/
Marco Polo Kolkata,Kolkata,Continental | Chinese | Bar,4.2,Rs 500-2000,Sarat Bose Road,Yes,https://wibest.in/restaurants/kolkata/
Mainland China Kolkata,Kolkata,Chinese | Asian | Fine Dining,4.4,Rs 2000+,Gurusaday Road,Yes,https://wibest.in/restaurants/kolkata/
Oudh 1590,Kolkata,Mughlai | Biryani | Kebabs,4.5,Rs 2000+,Deshapriya Park,Yes,https://wibest.in/restaurants/kolkata/
Sienna Cafe,Kolkata,Cafe | Continental | Bakery,4.5,Rs 500-2000,Hindustan Park,Yes,https://wibest.in/restaurants/kolkata/
Paris Cafe Kolkata,Kolkata,Cafe | Continental | Italian,4.4,Rs 500-2000,Park Street,Yes,https://wibest.in/restaurants/kolkata/
Zaranj,Kolkata,North Indian | Mughlai | Fine Dining,4.3,Rs 2000+,AJC Bose Road,Yes,https://wibest.in/restaurants/kolkata/
