name,city,type,beds,rating,specialties,nabh,address,source
Sterling Hospital Vadodara,Vadodara,Private,200,4.4,Cardiac Sciences | Neurology | Oncology | Orthopedics | Liver Transplant,true,"Race Course Road, Gotri, Vadodara 390021",https://wibest.in/hospitals/vadodara/
Bhailal Amin General Hospital,Vadodara,Trust,380,4.4,Cardiac Sciences | Neurology | Oncology | Orthopedics | Gastroenterology,true,"Sarabhai Compound, Bhailal Amin Marg, Vadodara 390003",https://wibest.in/hospitals/vadodara/
Sayaji Hospital,Vadodara,Government,1500,4.0,General Medicine | Surgery | Orthopedics | Paediatrics | Trauma | Cardiac Sciences,true,"Anandpura, Vadodara 390001",https://wibest.in/hospitals/vadodara/
Kailash Cancer Hospital,Vadodara,Trust,200,4.5,Oncology | Surgical Oncology | Radiation Oncology | Bone Marrow Transplant,true,"Goraj, Tal. Waghodia, Vadodara 391760",https://wibest.in/hospitals/vadodara/
Sunshine Global Hospital Vadodara,Vadodara,Private,150,4.4,Cardiac Sciences | Neurology | Orthopedics | Gastroenterology,true,"OP Road, Vadodara 390020",https://wibest.in/hospitals/vadodara/
Narhari Multispeciality Hospital,Vadodara,Private,120,4.3,Cardiac Sciences | Orthopedics | Gynaecology | General Medicine,true,"Akota, Vadodara 390020",https://wibest.in/hospitals/vadodara/
GMERS Medical College Vadodara,Vadodara,Government,600,4.0,General Medicine | Surgery | Orthopedics | Paediatrics | Cardiac Sciences,true,"Gotri Road, Vadodara 390021",https://wibest.in/hospitals/vadodara/
Apollo Hospital Vadodara,Vadodara,Private,200,4.4,Cardiac Sciences | Neurology | Oncology | Orthopedics,true,"Vasna-Bhayli Road, Vadodara 391410",https://wibest.in/hospitals/vadodara/
Sterling Hospital Vadodara,Vadodara,Private,240,4.3,Cardiology | Cardiac Surgery | Oncology | Orthopedics | Nephrology,true,"Race Course Road, Alkapuri, Vadodara 390007",https://wibest.in/hospitals/vadodara/
Bhailal Amin General Hospital,Vadodara,Trust,300,4.2,General Medicine | Cardiology | Orthopedics | Neurology | Gynaecology,true,"Sevasi Sankheda Road, Vadodara 391101",https://wibest.in/hospitals/vadodara/
Sunshine Global Hospital,Vadodara,Private,175,4.4,Cardiology | Neurosciences | Orthopedics | Bariatric Surgery | IVF,true,"Manjalpur, Vadodara 390011",https://wibest.in/hospitals/vadodara/
Tristar Hospital Vadodara,Vadodara,Private,90,4.2,Cardiology | Orthopedics | General Surgery | Internal Medicine | Critical Care,true,"Karelibaug, Vadodara 390018",https://wibest.in/hospitals/vadodara/
