name,city,cuisines,rating,budget_tier,address,vegetarian,source
Annapoorna Gowrishankar,Coimbatore,South Indian | Vegetarian,4.4,Under Rs 500,"RS Puram, Coimbatore",Yes,https://wibest.in/restaurants/coimbatore/
Junior Kuppanna,Coimbatore,Chettinad | South Indian | Biryani,4.4,Rs 500-2000,"Race Course, Coimbatore",Yes,https://wibest.in/restaurants/coimbatore/
Hotel Sree Annapoorna,Coimbatore,South Indian | Vegetarian,4.3,Under Rs 500,"Puliakulam, Coimbatore",Yes,https://wibest.in/restaurants/coimbatore/
Angannan Biryani,Coimbatore,Biryani | Chettinad | Non-Veg,4.3,Under Rs 500,"Gandhipuram, Coimbatore",No,https://wibest.in/restaurants/coimbatore/
The Black Tomato,Coimbatore,Continental | Cafe | Pizza,4.3,Rs 500-2000,"RS Puram, Coimbatore",Yes,https://wibest.in/restaurants/coimbatore/
On The Go,Coimbatore,Cafe | Burgers | Continental,4.2,Rs 500-2000,"Race Course, Coimbatore",Yes,https://wibest.in/restaurants/coimbatore/
Hotel Shree Anandhaas,Coimbatore,South Indian | Vegetarian | Family,4.3,Under Rs 500,RS Puram,Yes,https://wibest.in/restaurants/coimbatore/
Geo Marina Buhari,Coimbatore,South Indian | Biryani | Family,4.2,Rs 500-2000,Race Course,Yes,https://wibest.in/restaurants/coimbatore/
Hyderabad Briyani House,Coimbatore,Biryani | Mughlai,4.2,Rs 500-2000,Peelamedu,Yes,https://wibest.in/restaurants/coimbatore/
Kovai Ulagam,Coimbatore,South Indian | Chettinad | Family,4.3,Rs 500-2000,Avinashi Road,Yes,https://wibest.in/restaurants/coimbatore/
Ulundu Vadai,Coimbatore,South Indian | Street Food,4.2,Under Rs 500,Saibaba Colony,Yes,https://wibest.in/restaurants/coimbatore/
Cafe Diem,Coimbatore,Cafe | Continental | Italian,4.3,Rs 500-2000,Race Course,Yes,https://wibest.in/restaurants/coimbatore/
Brewista,Coimbatore,Cafe | Continental | Bakery,4.4,Rs 500-2000,RS Puram,Yes,https://wibest.in/restaurants/coimbatore/
Thalappakatti Coimbatore,Coimbatore,Biryani | Chettinad | Family,4.2,Rs 500-2000,Avinashi Road,Yes,https://wibest.in/restaurants/coimbatore/
Kebab Studio,Coimbatore,Kebabs | North Indian | BBQ,4.3,Rs 500-2000,Race Course,Yes,https://wibest.in/restaurants/coimbatore/
Hotel Aryaas,Coimbatore,South Indian | Vegetarian | Family,4.2,Under Rs 500,Gandhipuram,Yes,https://wibest.in/restaurants/coimbatore/
Madras Coffee House Cbe,Coimbatore,South Indian | Cafe | Vegetarian,4.3,Under Rs 500,RS Puram,Yes,https://wibest.in/restaurants/coimbatore/
Vinayaga Bhavan,Coimbatore,South Indian | Vegetarian | Family,4.2,Under Rs 500,Gandhipuram,Yes,https://wibest.in/restaurants/coimbatore/
Royal Hindu,Coimbatore,South Indian | Vegetarian | Family,4.2,Under Rs 500,Town Hall,Yes,https://wibest.in/restaurants/coimbatore/
Sree Shakthi,Coimbatore,South Indian | Vegetarian | Family,4.2,Under Rs 500,RS Puram,Yes,https://wibest.in/restaurants/coimbatore/
Hotel Krishna Bhavan,Coimbatore,South Indian | Vegetarian | Family,4.1,Under Rs 500,Saibaba Colony,Yes,https://wibest.in/restaurants/coimbatore/
Zara Hatke,Coimbatore,Continental | Italian | Cafe,4.3,Rs 500-2000,Race Course,Yes,https://wibest.in/restaurants/coimbatore/
The Residency Coffee Shop,Coimbatore,Continental | Cafe | Family,4.2,Rs 500-2000,Avinashi Road,Yes,https://wibest.in/restaurants/coimbatore/
Latest Recipe Le Meridien,Coimbatore,Continental | Asian | Fine Dining,4.4,Rs 2000+,"Le Meridien, Race Course",Yes,https://wibest.in/restaurants/coimbatore/
Bamboo Hut,Coimbatore,Chinese | Asian,4.2,Rs 500-2000,Peelamedu,Yes,https://wibest.in/restaurants/coimbatore/
Mainland China Coimbatore,Coimbatore,Chinese | Asian | Fine Dining,4.3,Rs 2000+,Avinashi Road,Yes,https://wibest.in/restaurants/coimbatore/
Hot Breads,Coimbatore,Bakery | Cafe | Desserts,4.2,Under Rs 500,RS Puram,Yes,https://wibest.in/restaurants/coimbatore/
Kapikala Coffee House,Coimbatore,Cafe | Bakery | Continental,4.4,Rs 500-2000,Saibaba Colony,Yes,https://wibest.in/restaurants/coimbatore/
Absolute Barbecues Coimbatore,Coimbatore,BBQ | North Indian | Family,4.4,Rs 2000+,Brookefields Mall,Yes,https://wibest.in/restaurants/coimbatore/
On The Rocks,Coimbatore,North Indian | Continental | Bar,4.2,Rs 500-2000,Race Course,Yes,https://wibest.in/restaurants/coimbatore/
