name,city,cuisines,rating,budget_tier,address,vegetarian,source
Dhe Puttu,Kochi,Kerala | South Indian | Traditional,4.4,Under Rs 500,"Panampilly Nagar, Kochi",No,https://wibest.in/restaurants/kochi/
Fort House Restaurant,Kochi,Kerala | Seafood | Fine Dining,4.4,Rs 2000+,Fort Kochi,No,https://wibest.in/restaurants/kochi/
Kashi Art Cafe,Kochi,Cafe | Continental | Breakfast,4.3,Rs 500-2000,"Burgher Street, Fort Kochi",Yes,https://wibest.in/restaurants/kochi/
Ariya Nivaas,Kochi,Kerala | South Indian | Vegetarian,4.3,Under Rs 500,"MG Road, Ernakulam",Yes,https://wibest.in/restaurants/kochi/
The Old Harbour Hotel,Kochi,Seafood | Kerala | Fine Dining,4.5,Rs 2000+,Fort Kochi,No,https://wibest.in/restaurants/kochi/
Frys Village Restaurant,Kochi,Kerala | Traditional | Seafood,4.3,Rs 500-2000,"Kadavanthra, Kochi",No,https://wibest.in/restaurants/kochi/
Fusion Bay,Kochi,Seafood | Kerala,4.4,Rs 500-2000,Elamkulam,Yes,https://wibest.in/restaurants/kochi/
Oceanos Restaurant,Kochi,Seafood | Continental,4.3,Rs 500-2000,Panampilly Nagar,Yes,https://wibest.in/restaurants/kochi/
Loafer's Corner Cafe,Kochi,Cafe | Continental,4.3,Rs 500-2000,"Princess Street, Fort Kochi",Yes,https://wibest.in/restaurants/kochi/
Brunton Boatyard,Kochi,Continental | Kerala | Fine Dining,4.5,Rs 2000+,"Calvathy, Fort Kochi",Yes,https://wibest.in/restaurants/kochi/
Grand Pavilion,Kochi,North Indian | South Indian | Family,4.4,Rs 2000+,"Grand Hotel, MG Road",Yes,https://wibest.in/restaurants/kochi/
Mocha Art Cafe,Kochi,Cafe | Continental,4.2,Rs 500-2000,Marine Drive,Yes,https://wibest.in/restaurants/kochi/
Rice Boat,Kochi,Seafood | Kerala | Fine Dining,4.5,Rs 2000+,"Taj Malabar, Willingdon Island",Yes,https://wibest.in/restaurants/kochi/
Thaff Restaurant,Kochi,Lebanese | Mughlai | Biryani,4.3,Rs 500-2000,Kaloor,Yes,https://wibest.in/restaurants/kochi/
Kayees Rahmathulla Hotel,Kochi,Biryani | Mughlai,4.4,Under Rs 500,Mattancherry,Yes,https://wibest.in/restaurants/kochi/
Pai Brothers,Kochi,South Indian | Vegetarian,4.3,Under Rs 500,MG Road,Yes,https://wibest.in/restaurants/kochi/
Caza Maria,Kochi,Mediterranean | Continental,4.4,Rs 2000+,"Jew Town, Mattancherry",Yes,https://wibest.in/restaurants/kochi/
Teapot Cafe,Kochi,Cafe | Continental,4.3,Rs 500-2000,"Peter Celli Street, Fort Kochi",Yes,https://wibest.in/restaurants/kochi/
Seagull Restaurant,Kochi,Seafood | Continental,4.2,Rs 500-2000,"Calvathy Road, Fort Kochi",Yes,https://wibest.in/restaurants/kochi/
Malabar Junction,Kochi,Continental | Kerala | Fine Dining,4.5,Rs 2000+,"Malabar House, Fort Kochi",Yes,https://wibest.in/restaurants/kochi/
Dal Roti,Kochi,North Indian | Mughlai,4.4,Rs 500-2000,"Lily Street, Fort Kochi",Yes,https://wibest.in/restaurants/kochi/
Solar Cafe,Kochi,Cafe | Vegan,4.3,Rs 500-2000,Fort Kochi,Yes,https://wibest.in/restaurants/kochi/
History Restaurant,Kochi,Kerala | Continental,4.4,Rs 2000+,"Brunton Boatyard, Fort Kochi",Yes,https://wibest.in/restaurants/kochi/
Kashi Art Gallery Cafe,Kochi,Cafe | Continental,4.3,Rs 500-2000,Mattancherry,Yes,https://wibest.in/restaurants/kochi/
Avocado Restaurant,Kochi,Continental | Family,4.2,Rs 500-2000,Panampilly Nagar,Yes,https://wibest.in/restaurants/kochi/
Chillies Restaurant,Kochi,Chinese | Asian,4.3,Rs 500-2000,Panampilly Nagar,Yes,https://wibest.in/restaurants/kochi/
Le Colonial Kochi,Kochi,Continental | Asian,4.4,Rs 2000+,"Forte Kochi, Fort Kochi",Yes,https://wibest.in/restaurants/kochi/
Saffron Crowne Plaza,Kochi,North Indian | Mughlai,4.3,Rs 500-2000,"Crowne Plaza, Kundannoor",Yes,https://wibest.in/restaurants/kochi/
Ginger House,Kochi,Kerala | Seafood,4.3,Rs 500-2000,"Heritage Arts, Jew Town",Yes,https://wibest.in/restaurants/kochi/
Arca Nova,Kochi,Seafood | Continental,4.3,Rs 2000+,"Old Harbour Hotel, Fort Kochi",Yes,https://wibest.in/restaurants/kochi/
