name,city,cuisines,rating,budget_tier,address,vegetarian,source
MTR (Mavalli Tiffin Rooms),Bangalore,South Indian | Vegetarian,4.6,Under Rs 500,"Lalbagh Road, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Vidyarthi Bhavan,Bangalore,South Indian | Vegetarian,4.5,Under Rs 500,"Gandhi Bazaar, Basavanagudi",Yes,https://wibest.in/restaurants/bangalore/
Karavalli,Bangalore,Coastal | Seafood | Fine Dining,4.6,Rs 2000+,"The Gateway Hotel, Residency Road",Yes,https://wibest.in/restaurants/bangalore/
Meghana Foods,Bangalore,Biryani | Andhra | South Indian,4.4,Under Rs 500,"Multiple outlets, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Truffles,Bangalore,Continental | Cafe | Burgers,4.4,Rs 500-2000,"St. Marks Road, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Empire Restaurant,Bangalore,Biryani | North Indian | Kebabs,4.3,Under Rs 500,"Church Street, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
The Only Place,Bangalore,Continental | Steaks,4.4,Rs 500-2000,"Museum Road, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Toit Brewpub,Bangalore,Continental | Cafe | Brewery,4.4,Rs 500-2000,"100 Feet Road, Indiranagar",Yes,https://wibest.in/restaurants/bangalore/
Corner House,Bangalore,Ice Cream | Desserts,4.5,Under Rs 500,"Residency Road, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Nagarjuna,Bangalore,Andhra | South Indian | Biryani,4.4,Rs 500-2000,"Residency Road, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Brahmin's Coffee Bar,Bangalore,South Indian | Vegetarian | Breakfast,4.5,Under Rs 500,"Shankarapuram, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Koshy's,Bangalore,Continental | Anglo-Indian | Cafe,4.4,Rs 500-2000,"St. Marks Road, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
CTR (Central Tiffin Room),Bangalore,South Indian | Breakfast | Vegetarian,4.5,Under Rs 500,"Malleshwaram, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Rajdhani,Bangalore,Gujarati | Rajasthani | Thali,4.3,Rs 500-2000,"Forum Mall, Koramangala",Yes,https://wibest.in/restaurants/bangalore/
Barbeque Nation,Bangalore,BBQ | North Indian | Buffet,4.3,Rs 500-2000,"Koramangala, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Hard Rock Cafe,Bangalore,Continental | American | Bar,4.3,Rs 2000+,"St. Marks Road, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Fava,Bangalore,Mediterranean | Continental,4.4,Rs 2000+,"UB City, Vittal Mallya Road",Yes,https://wibest.in/restaurants/bangalore/
Olive Beach,Bangalore,Mediterranean | Fine Dining,4.4,Rs 2000+,"Wood Street, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Windmills Craftworks,Bangalore,Continental | Brewery | Jazz,4.4,Rs 2000+,"Whitefield, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Arbor Brewing Company,Bangalore,American | Brewery | Pizza,4.3,Rs 500-2000,"Magrath Road, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
The Permit Room,Bangalore,South Indian | Modern Indian | Bar,4.4,Rs 500-2000,"Lavelle Road, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
SodaBottleOpenerWala Bangalore,Bangalore,Parsi | Iranian | Cafe,4.3,Rs 500-2000,"Lavelle Road, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Smoke House Deli,Bangalore,Continental | Italian | Cafe,4.3,Rs 500-2000,"Indiranagar, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Glen's Bakehouse,Bangalore,Bakery | Cafe | Desserts,4.5,Rs 500-2000,"Indiranagar, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Byg Brewski Brewing Company,Bangalore,Brewery | Continental | Pub,4.5,Rs 500-2000,"Sarjapur Road, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Communiti,Bangalore,Brewery | Continental | Pub,4.4,Rs 500-2000,"Koramangala, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Plan B Loaded,Bangalore,American | Burgers | Pub,4.3,Rs 500-2000,"Indiranagar, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Konark Restaurant,Bangalore,Andhra | Biryani | Non-Veg,4.2,Under Rs 500,"Jayanagar, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Farzi Cafe Bangalore,Bangalore,Modern Indian | Bar | Lounge,4.3,Rs 500-2000,"UB City, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Hari Super Sandwich,Bangalore,South Indian | Street Food | Vegetarian,4.3,Under Rs 500,"Jayanagar, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
