name,city,cuisines,rating,budget_tier,address,vegetarian,source
Khorikaa,Guwahati,Assamese | Naga | Tribal,4.6,Rs 500-2000,"GS Road, Bhangagarh",No,https://wibest.in/restaurants/guwahati/
Paradise Restaurant,Guwahati,Assamese | Bengali | Multi-Cuisine,4.4,Rs 500-2000,"GNB Road, Silpukhuri",No,https://wibest.in/restaurants/guwahati/
Heritage Khorikaa,Guwahati,Assamese | Tribal | Vegetarian,4.5,Rs 500-2000,"6 Mile, VIP Road",No,https://wibest.in/restaurants/guwahati/
Beatrouts,Guwahati,Cafe | Continental | Italian,4.4,Rs 500-2000,"Zoo Road, near Hub Mall",No,https://wibest.in/restaurants/guwahati/
Kiran's Kitchen,Guwahati,North Indian | Mughlai | Tandoor,4.3,Rs 500-2000,"Sundarpur, Beltola",No,https://wibest.in/restaurants/guwahati/
Mainland China Guwahati,Guwahati,Chinese | Asian | Pan-Asian,4.3,Rs 500-2000,"Hub Mall, Zoo Road",No,https://wibest.in/restaurants/guwahati/
Sundarban Resort,Guwahati,Bengali | Assamese | Multi-Cuisine,4.3,Rs 2000+,"VIP Road, near Khanapara",No,https://wibest.in/restaurants/guwahati/
Cafe Hendrix,Guwahati,Cafe | Continental | Mexican,4.4,Rs 500-2000,"GS Road, Christian Basti",No,https://wibest.in/restaurants/guwahati/
Naga Kitchen,Guwahati,Naga | Tribal | Smoked Meat,4.4,Rs 500-2000,"Hatigaon, Lachit Nagar",No,https://wibest.in/restaurants/guwahati/
Saffron Mayfair,Guwahati,Multi-Cuisine | Continental | Indian,4.4,Rs 2000+,"Vivanta Guwahati, Khanapara",No,https://wibest.in/restaurants/guwahati/
