name,city,cuisines,rating,budget_tier,address,vegetarian,source
Trishna,Mumbai,Seafood | South Indian | Crab,4.6,Rs 500-2000,"Kala Ghoda, Fort",Yes,https://wibest.in/restaurants/mumbai/
Leopold Cafe,Mumbai,Continental | Cafe | North Indian,4.3,Rs 500-2000,Colaba Causeway,Yes,https://wibest.in/restaurants/mumbai/
Bademiya,Mumbai,Mughlai | Street Food | Kebabs,4.4,Under Rs 500,"Tulloch Road, Colaba",No,https://wibest.in/restaurants/mumbai/
The Bombay Canteen,Mumbai,Modern Indian | Continental,4.6,Rs 2000+,"Kamala Mills, Lower Parel",Yes,https://wibest.in/restaurants/mumbai/
Britannia & Co,Mumbai,Parsi | Iranian | Cafe,4.5,Under Rs 500,"Ballard Estate, Fort",Yes,https://wibest.in/restaurants/mumbai/
Swati Snacks,Mumbai,Street Food | Vegetarian | Gujarati,4.5,Under Rs 500,"Tardeo, Mumbai",Yes,https://wibest.in/restaurants/mumbai/
Peshawri,Mumbai,North Indian | Mughlai | Fine Dining,4.6,Rs 2000+,"ITC Maratha, Andheri",Yes,https://wibest.in/restaurants/mumbai/
Bastian,Mumbai,Seafood | Continental | Fine Dining,4.5,Rs 2000+,Bandra West,Yes,https://wibest.in/restaurants/mumbai/
Jimmy Boy,Mumbai,Parsi | Iranian,4.3,Rs 500-2000,"Fort, Mumbai",Yes,https://wibest.in/restaurants/mumbai/
Cafe Mondegar,Mumbai,Continental | Cafe | Bar,4.4,Rs 500-2000,"Colaba, Mumbai",Yes,https://wibest.in/restaurants/mumbai/
Theobroma,Mumbai,Bakery | Desserts | Cafe,4.5,Under Rs 500,"Colaba Causeway, Colaba",Yes,https://wibest.in/restaurants/mumbai/
Kala Ghoda Cafe,Mumbai,Cafe | Continental | Brunch,4.4,Rs 500-2000,"Kala Ghoda, Fort",Yes,https://wibest.in/restaurants/mumbai/
Gallops,Mumbai,Continental | North Indian,4.2,Rs 500-2000,Mahalaxmi Race Course,Yes,https://wibest.in/restaurants/mumbai/
Soam,Mumbai,Gujarati | Vegetarian | Jain,4.4,Rs 500-2000,"Babulnath, Chowpatty",Yes,https://wibest.in/restaurants/mumbai/
New Kulfi Centre,Mumbai,Desserts | Ice Cream,4.5,Under Rs 500,"Chowpatty, Mumbai",Yes,https://wibest.in/restaurants/mumbai/
Bademiya Seekh Kabab,Mumbai,Mughlai | Kebabs | Street Food,4.3,Under Rs 500,"Colaba, Mumbai",Yes,https://wibest.in/restaurants/mumbai/
Gajalee,Mumbai,Coastal | Seafood | Maharashtrian,4.3,Rs 500-2000,"Vile Parle West, Mumbai",Yes,https://wibest.in/restaurants/mumbai/
Mahesh Lunch Home,Mumbai,Coastal | Seafood | Mangalorean,4.4,Rs 500-2000,"Fort, Mumbai",Yes,https://wibest.in/restaurants/mumbai/
Highway Gomantak,Mumbai,Goan | Coastal | Seafood,4.3,Rs 500-2000,"Bandra East, Mumbai",Yes,https://wibest.in/restaurants/mumbai/
Pali Village Cafe,Mumbai,Italian | Mediterranean | Continental,4.4,Rs 2000+,"Pali Hill, Bandra West",Yes,https://wibest.in/restaurants/mumbai/
Bastian at the Top,Mumbai,Asian | Seafood | Fine Dining,4.6,Rs 2000+,"Worli, Mumbai",Yes,https://wibest.in/restaurants/mumbai/
Masque,Mumbai,Modern Indian | Fine Dining,4.7,Rs 2000+,"Mathuradas Mills, Lower Parel",Yes,https://wibest.in/restaurants/mumbai/
Americano,Mumbai,Italian | Mediterranean | Fine Dining,4.6,Rs 2000+,"Kala Ghoda, Fort",Yes,https://wibest.in/restaurants/mumbai/
Hakkasan,Mumbai,Chinese | Asian | Fine Dining,4.5,Rs 2000+,"Bandra West, Mumbai",Yes,https://wibest.in/restaurants/mumbai/
Yauatcha,Mumbai,Chinese | Asian | Fine Dining,4.5,Rs 2000+,"Bandra Kurla Complex, Mumbai",Yes,https://wibest.in/restaurants/mumbai/
Social Khar,Mumbai,Continental | Bar | Pub,4.3,Rs 500-2000,"Khar West, Mumbai",Yes,https://wibest.in/restaurants/mumbai/
Gateway Taproom,Mumbai,Brewery | Continental | Pub,4.3,Rs 500-2000,"Andheri West, Mumbai",Yes,https://wibest.in/restaurants/mumbai/
Persian Darbar,Mumbai,Mughlai | Biryani | Kebabs,4.2,Rs 500-2000,"Bandra West, Mumbai",Yes,https://wibest.in/restaurants/mumbai/
Shree Thaker Bhojanalay,Mumbai,Gujarati | Vegetarian,4.4,Rs 500-2000,"Kalbadevi, Mumbai",Yes,https://wibest.in/restaurants/mumbai/
Cafe Madras,Mumbai,South Indian | Vegetarian,4.4,Under Rs 500,"Matunga, Mumbai",Yes,https://wibest.in/restaurants/mumbai/
