name,city,cuisines,rating,budget_tier,address,vegetarian,source
Laxmi Misthan Bhandar (LMB),Jaipur,Rajasthani | Sweets | Vegetarian,4.4,Rs 500-2000,"Johari Bazaar, Jaipur",Yes,https://wibest.in/restaurants/jaipur/
Rawat Mishthan Bhandar,Jaipur,Rajasthani | Snacks | Vegetarian,4.5,Under Rs 500,"Station Road, Jaipur",Yes,https://wibest.in/restaurants/jaipur/
1135 AD,Jaipur,Rajasthani | Fine Dining | Royal,4.5,Rs 2000+,"Amer Fort, Jaipur",Yes,https://wibest.in/restaurants/jaipur/
Chokhi Dhani,Jaipur,Rajasthani | Thali | Folk,4.4,Rs 500-2000,"Tonk Road, Jaipur",Yes,https://wibest.in/restaurants/jaipur/
Suvarna Mahal,Jaipur,Indian | Fine Dining | Royal,4.6,Rs 2000+,"Rambagh Palace, Jaipur",No,https://wibest.in/restaurants/jaipur/
Tapri Central,Jaipur,Cafe | Chai | Snacks,4.4,Under Rs 500,"C Scheme, Jaipur",Yes,https://wibest.in/restaurants/jaipur/
Niros,Jaipur,North Indian | Continental,4.3,Rs 500-2000,MI Road,Yes,https://wibest.in/restaurants/jaipur/
Spice Court,Jaipur,Rajasthani | North Indian,4.4,Rs 500-2000,Civil Lines,Yes,https://wibest.in/restaurants/jaipur/
Peacock Rooftop Restaurant,Jaipur,North Indian | Family,4.5,Rs 500-2000,Hotel Pearl Palace,Yes,https://wibest.in/restaurants/jaipur/
Anokhi Cafe,Jaipur,Cafe | Continental,4.4,Rs 500-2000,C-Scheme,Yes,https://wibest.in/restaurants/jaipur/
Handi Restaurant,Jaipur,North Indian | Mughlai,4.3,Rs 500-2000,MI Road,Yes,https://wibest.in/restaurants/jaipur/
Four Seasons Jaipur,Jaipur,North Indian | Chinese,4.2,Rs 500-2000,"Subhash Marg, C-Scheme",Yes,https://wibest.in/restaurants/jaipur/
Sankalp Jaipur,Jaipur,South Indian | Vegetarian,4.2,Rs 500-2000,MI Road,Yes,https://wibest.in/restaurants/jaipur/
Mohan Mahal Rambagh,Jaipur,Modern Indian | Continental | Fine Dining,4.6,Rs 2000+,"Rambagh Palace, Bhawani Singh Road",Yes,https://wibest.in/restaurants/jaipur/
Bar Palladio,Jaipur,Italian | Mediterranean,4.5,Rs 2000+,"Narain Niwas Palace, Kanota Bagh",Yes,https://wibest.in/restaurants/jaipur/
Steam at Rambagh,Jaipur,Italian | Pizza | Continental,4.4,Rs 2000+,Rambagh Palace,Yes,https://wibest.in/restaurants/jaipur/
Cafe Palladio,Jaipur,Cafe | Mediterranean,4.5,Rs 2000+,"Hathroi Fort, Ajmer Road",Yes,https://wibest.in/restaurants/jaipur/
Tattoo Cafe and Lounge,Jaipur,Cafe | Continental,4.3,Rs 500-2000,Hawa Mahal Road,Yes,https://wibest.in/restaurants/jaipur/
Wind View Cafe,Jaipur,Cafe | North Indian,4.2,Under Rs 500,Hawa Mahal Road,Yes,https://wibest.in/restaurants/jaipur/
Padao Restaurant,Jaipur,Rajasthani | North Indian,4.3,Rs 500-2000,Nahargarh Fort,Yes,https://wibest.in/restaurants/jaipur/
On The House,Jaipur,Continental | Italian,4.3,Rs 500-2000,Vaishali Nagar,Yes,https://wibest.in/restaurants/jaipur/
The Forresta Kitchen and Bar,Jaipur,Continental | Asian | Bar,4.4,Rs 2000+,"Jaisinghpura, Amer",Yes,https://wibest.in/restaurants/jaipur/
Masala Chowk,Jaipur,Street Food | Rajasthani,4.2,Under Rs 500,Ram Niwas Garden,Yes,https://wibest.in/restaurants/jaipur/
Sahu Chai Wala,Jaipur,Cafe | Quick Bites,4.3,Under Rs 500,MI Road,Yes,https://wibest.in/restaurants/jaipur/
Pandit Kulfi,Jaipur,Desserts | Sweets,4.4,Under Rs 500,MI Road,Yes,https://wibest.in/restaurants/jaipur/
Rawat Kachori,Jaipur,Street Food | Sweets,4.4,Under Rs 500,Sindhi Camp,Yes,https://wibest.in/restaurants/jaipur/
Samrat Restaurant Jaipur,Jaipur,Rajasthani | Family,4.2,Rs 500-2000,MI Road,Yes,https://wibest.in/restaurants/jaipur/
Natraj Restaurant,Jaipur,North Indian | South Indian,4.2,Rs 500-2000,MI Road,Yes,https://wibest.in/restaurants/jaipur/
Jaipur Modern Kitchen,Jaipur,Continental | Modern Indian,4.4,Rs 2000+,C-Scheme,Yes,https://wibest.in/restaurants/jaipur/
Curious Life Coffee Roasters,Jaipur,Cafe | Bakery,4.5,Rs 500-2000,C-Scheme,Yes,https://wibest.in/restaurants/jaipur/
