name,city,type,beds,rating,specialties,nabh,address,source
Apollo Greams Road,Chennai,Private,710,4.6,Cardiology | Oncology | Transplant | Orthopedics | Neurology,,"21 Greams Lane, Off Greams Road, Chennai 600006",https://wibest.in/hospitals/chennai/
Sankara Nethralaya,Chennai,Trust,400,4.8,Ophthalmology | Retina | Glaucoma | Cornea,,"18, College Road, Nungambakkam, Chennai 600006",https://wibest.in/hospitals/chennai/
MIOT International,Chennai,Private,600,4.5,Orthopedics | Joint Replacement | Spine | Sports Medicine | Cardiac Sciences,,"4/112, Mount Poonamallee Road, Manapakkam, Chennai 600089",https://wibest.in/hospitals/chennai/
Fortis Malar Hospital,Chennai,Private,180,4.3,Cardiac Sciences | Neurology | Gastroenterology | Kidney Transplant,,"52 1st Main Road, Gandhi Nagar, Adyar, Chennai 600020",https://wibest.in/hospitals/chennai/
Madras Medical Mission,Chennai,Trust,350,4.5,Cardiac Surgery | Cardiology | Paediatric Cardiac,,"4-A, Dr J Jayalalithaa Nagar, Mogappair, Chennai 600037",https://wibest.in/hospitals/chennai/
Stanley Medical College Hospital,Chennai,Government,1650,4.2,General Medicine | Surgery | Orthopedics | Trauma,,"Old Jail Road, Royapuram, Chennai 600001",https://wibest.in/hospitals/chennai/
Rajiv Gandhi GGH,Chennai,Government,2400,4.1,General Medicine | Surgery | Trauma | Burns | Paediatrics,,"Park Town, EVR Periyar Salai, Chennai 600003",https://wibest.in/hospitals/chennai/
Sri Ramachandra Hospital,Chennai,Private,800,4.4,Cardiac Sciences | Neurology | Gastroenterology | Oncology | Transplant,,"1, Ramachandra Nagar, Porur, Chennai 600116",https://wibest.in/hospitals/chennai/
Kauvery Hospital,Chennai,Private,350,4.4,Cardiac Sciences | Neurology | Gastroenterology | Orthopedics | Oncology,,"199, Luz Church Road, Mylapore, Chennai 600004",https://wibest.in/hospitals/chennai/
MGM Healthcare,Chennai,Private,400,4.3,Cardiac Sciences | Neurology | Transplant | Oncology | Robotic Surgery,,"72, Nelson Manickam Road, Aminjikarai, Chennai 600029",https://wibest.in/hospitals/chennai/
Gleneagles Global Chennai,Chennai,Private,1000,4.4,Transplant | Cardiac Sciences | Neurology | Oncology | Robotic Surgery,,"439, Cheran Nagar, Perumbakkam, Chennai 600100",https://wibest.in/hospitals/chennai/
Global Hospital Chennai,Chennai,Private,350,4.3,Liver Transplant | Gastroenterology | Hepatology | Kidney Transplant,,"439, Cheran Nagar, Perumbakkam, Chennai 600100",https://wibest.in/hospitals/chennai/
Apollo Children's Hospital,Chennai,Private,180,4.6,Paediatrics | Paediatric Surgery | Neonatology | PICU,,"15, Shafee Mohammed Road, Thousand Lights, Chennai 600006",https://wibest.in/hospitals/chennai/
Billroth Hospitals,Chennai,Private,300,4.2,Cardiac Sciences | Neurology | Orthopedics | Gastroenterology | IVF,,"43, Lakshmi Talkies Road, Shenoy Nagar, Chennai 600030",https://wibest.in/hospitals/chennai/
Vijaya Hospital,Chennai,Private,300,4.2,Cardiac Sciences | Neurology | Orthopedics | Gastroenterology | General Medicine,,"180, NSK Salai, Vadapalani, Chennai 600026",https://wibest.in/hospitals/chennai/
Dr. Mehta's Hospitals,Chennai,Private,250,4.2,Orthopedics | Joint Replacement | Spine | Sports Medicine,,"2, McNichols Road, Chetpet, Chennai 600031",https://wibest.in/hospitals/chennai/
Prashanth Hospitals,Chennai,Private,250,4.2,Gastroenterology | Hepatology | Liver Transplant | Renal Sciences,,"Lloyds Road, Chennai 600014",https://wibest.in/hospitals/chennai/
Chettinad Hospital,Chennai,Private,400,4.1,General Medicine | Surgery | Orthopedics | Cardiac Sciences | Neurology,,"Rajiv Gandhi Salai, Kelambakkam, Chennai 603103",https://wibest.in/hospitals/chennai/
SIMS Hospital Vadapalani,Chennai,Private,350,4.4,Cardiology | Neurology | Oncology | Orthopedics | Gastroenterology | Liver Transplant | Nephrology,,"No 1, Jawaharlal Nehru Salai (100 Feet Road), Vadapalani, Chennai 600026",https://wibest.in/hospitals/chennai/
Apollo Speciality Hospital OMR,Chennai,Private,118,4.3,Cardiology | Neurology | Orthopedics | Oncology | Gastroenterology | Critical Care,,"5/639, Old Mahabalipuram Road, Perungudi, Chennai 600096",https://wibest.in/hospitals/chennai/
Frontier Lifeline Hospital,Chennai,Private,170,4.3,Cardiology | Cardiac Surgery | Cardiac Sciences | Transplant | Paediatrics,,"R 30 C, Ambattur Industrial Estate Road, Mogappair, Chennai 600101",https://wibest.in/hospitals/chennai/
Dr Rela Institute and Medical Centre,Chennai,Private,450,4.4,Liver Transplant | Hepatology | Gastroenterology | Cardiac Sciences | Neurosciences | Oncology | Nephrology | Transplant,,"7, CLC Works Rd, Nagappa Nagar, Chromepet, Chennai 600044",https://wibest.in/hospitals/chennai/
Dr Agarwal's Eye Hospital Cathedral Road,Chennai,Private,50,4.4,Ophthalmology | Cataract | Retina,,"19, Cathedral Road, Gopalapuram, Chennai 600086",https://wibest.in/hospitals/chennai/
Cloudnine Hospital T Nagar,Chennai,Private,80,4.4,Maternity | Gynaecology | Neonatology | Paediatrics | IVF,,"54, Vijaya Raghav Road, Near Hyatt Regency, T Nagar, Chennai 600017",https://wibest.in/hospitals/chennai/
Voluntary Health Services Hospital,Chennai,Trust,400,4.3,General Medicine | Cardiology | Nephrology | Diabetology | Oncology | Surgery,,"Rajiv Gandhi Salai (OMR), Taramani, Chennai 600113",https://wibest.in/hospitals/chennai/
