name,city,cuisines,rating,budget_tier,address,vegetarian,source
Agashiye,Ahmedabad,Gujarati | Thali | Fine Dining,4.6,Rs 2000+,"The House of MG, Lal Darwaja",Yes,https://wibest.in/restaurants/ahmedabad/
Vishalla,Ahmedabad,Gujarati | Thali | Traditional,4.4,Rs 500-2000,"Vasna, Ahmedabad",Yes,https://wibest.in/restaurants/ahmedabad/
Gopi Dining Hall,Ahmedabad,Gujarati | Thali | Vegetarian,4.4,Under Rs 500,"Ellis Bridge, Ahmedabad",Yes,https://wibest.in/restaurants/ahmedabad/
Chandravilas,Ahmedabad,Gujarati | Snacks | Vegetarian,4.3,Under Rs 500,"Gandhi Road, Ahmedabad",Yes,https://wibest.in/restaurants/ahmedabad/
Tomato's,Ahmedabad,Italian | Cafe | Pizza,4.3,Rs 500-2000,"CG Road, Ahmedabad",No,https://wibest.in/restaurants/ahmedabad/
Swati Snacks,Ahmedabad,Gujarati | Chaat | Vegetarian,4.4,Under Rs 500,"Law Garden, Ahmedabad",Yes,https://wibest.in/restaurants/ahmedabad/
Gordhan Thal,Ahmedabad,Gujarati | Vegetarian | Family,4.4,Rs 500-2000,Ambawadi,Yes,https://wibest.in/restaurants/ahmedabad/
Rajwadu,Ahmedabad,Gujarati | Vegetarian | Family,4.3,Rs 500-2000,Vasna,Yes,https://wibest.in/restaurants/ahmedabad/
Toran Dining Hall,Ahmedabad,Gujarati | Vegetarian | Family,4.2,Rs 500-2000,Ashram Road,Yes,https://wibest.in/restaurants/ahmedabad/
Atithi Dining Hall,Ahmedabad,Gujarati | Vegetarian | Family,4.3,Rs 500-2000,Khanpur,Yes,https://wibest.in/restaurants/ahmedabad/
Patang Revolving Restaurant,Ahmedabad,Gujarati | North Indian | Fine Dining,4.1,Rs 2000+,Lal Darwaja,Yes,https://wibest.in/restaurants/ahmedabad/
Manek Chowk,Ahmedabad,Street Food | Vegetarian,4.4,Under Rs 500,"Manek Chowk, Old City",Yes,https://wibest.in/restaurants/ahmedabad/
Das Khaman House,Ahmedabad,Street Food | Gujarati | Vegetarian,4.5,Under Rs 500,Raipur,Yes,https://wibest.in/restaurants/ahmedabad/
Asharfi Kulfi,Ahmedabad,Desserts | Sweets,4.5,Under Rs 500,Manek Chowk,Yes,https://wibest.in/restaurants/ahmedabad/
Jassi De Parathe,Ahmedabad,North Indian | Street Food,4.3,Under Rs 500,Drive-In Road,Yes,https://wibest.in/restaurants/ahmedabad/
Cafe Upper Crust,Ahmedabad,Cafe | Continental | Italian,4.4,Rs 500-2000,CG Road,Yes,https://wibest.in/restaurants/ahmedabad/
Mocha Ahmedabad,Ahmedabad,Cafe | Continental,4.2,Rs 500-2000,Navrangpura,Yes,https://wibest.in/restaurants/ahmedabad/
Tomato's,Ahmedabad,Italian | Continental | Family,4.3,Rs 500-2000,Satellite,Yes,https://wibest.in/restaurants/ahmedabad/
Sankalp Ahmedabad,Ahmedabad,South Indian | Vegetarian | Family,4.2,Rs 500-2000,CG Road,Yes,https://wibest.in/restaurants/ahmedabad/
Havmor,Ahmedabad,Desserts | Cafe | Family,4.3,Under Rs 500,Law Garden,Yes,https://wibest.in/restaurants/ahmedabad/
Mirch Masala,Ahmedabad,North Indian | Street Food,4.2,Rs 500-2000,SG Highway,Yes,https://wibest.in/restaurants/ahmedabad/
The Project Cafe,Ahmedabad,Continental | Cafe | Italian,4.3,Rs 500-2000,Bodakdev,Yes,https://wibest.in/restaurants/ahmedabad/
Seven Seas,Ahmedabad,Continental | Chinese | Italian,4.2,Rs 500-2000,Vastrapur,Yes,https://wibest.in/restaurants/ahmedabad/
Punjab Honey,Ahmedabad,North Indian | Family,4.2,Rs 500-2000,Naranpura,Yes,https://wibest.in/restaurants/ahmedabad/
Gwalia Sweets,Ahmedabad,Sweets | Desserts | Street Food,4.4,Under Rs 500,CG Road,Yes,https://wibest.in/restaurants/ahmedabad/
Honest Restaurant,Ahmedabad,Street Food | Vegetarian | Family,4.3,Under Rs 500,Income Tax Circle,Yes,https://wibest.in/restaurants/ahmedabad/
Cafe Piano,Ahmedabad,Cafe | Continental | Italian,4.3,Rs 500-2000,CG Road,Yes,https://wibest.in/restaurants/ahmedabad/
Zen Ahmedabad,Ahmedabad,Asian | Chinese | Thai,4.3,Rs 2000+,Bodakdev,Yes,https://wibest.in/restaurants/ahmedabad/
Krishna Dining Hall,Ahmedabad,Gujarati | Vegetarian | Family,4.2,Rs 500-2000,Sabarmati,Yes,https://wibest.in/restaurants/ahmedabad/
Pakwan Dining Hall,Ahmedabad,Gujarati | Vegetarian | Family,4.3,Rs 500-2000,SG Highway,Yes,https://wibest.in/restaurants/ahmedabad/
