name,city,cuisines,rating,budget_tier,address,vegetarian,source
Tunday Kababi,Lucknow,Awadhi | Kebabs | Mughlai,4.5,Under Rs 500,"Aminabad, Lucknow",No,https://wibest.in/restaurants/lucknow/
Idris Biryani,Lucknow,Awadhi | Biryani | Mughlai,4.5,Under Rs 500,"Chowk, Lucknow",No,https://wibest.in/restaurants/lucknow/
Dastarkhwan,Lucknow,Awadhi | Mughlai | Kebabs,4.4,Rs 500-2000,"Hazratganj, Lucknow",No,https://wibest.in/restaurants/lucknow/
Moti Mahal,Lucknow,Mughlai | North Indian,4.3,Rs 500-2000,"Hazratganj, Lucknow",No,https://wibest.in/restaurants/lucknow/
Royal Cafe,Lucknow,Chaat | Awadhi | Snacks,4.3,Under Rs 500,"Hazratganj, Lucknow",Yes,https://wibest.in/restaurants/lucknow/
Oudhyana (Taj Mahal Lucknow),Lucknow,Awadhi | Fine Dining,4.5,Rs 2000+,"Gomti Nagar, Lucknow",No,https://wibest.in/restaurants/lucknow/
Wahid Biryani,Lucknow,Mughlai | Biryani,4.3,Rs 500-2000,Aminabad,Yes,https://wibest.in/restaurants/lucknow/
Mubeen's,Lucknow,Mughlai | Kebabs,4.2,Rs 500-2000,Aminabad,Yes,https://wibest.in/restaurants/lucknow/
Rahim's Kulcha Nihari,Lucknow,Mughlai | Kebabs,4.4,Under Rs 500,Chowk,Yes,https://wibest.in/restaurants/lucknow/
Prakash Kulfi,Lucknow,Desserts | Sweets,4.5,Under Rs 500,Aminabad,Yes,https://wibest.in/restaurants/lucknow/
Ram Asrey,Lucknow,Sweets | Desserts,4.5,Under Rs 500,Hazratganj,Yes,https://wibest.in/restaurants/lucknow/
Sakhawat,Lucknow,Mughlai | Kebabs,4.2,Rs 500-2000,Husainganj,Yes,https://wibest.in/restaurants/lucknow/
Naushijaan,Lucknow,Mughlai | Biryani,4.3,Rs 500-2000,Hazratganj,Yes,https://wibest.in/restaurants/lucknow/
Lalla Biryani,Lucknow,Biryani | Mughlai,4.1,Under Rs 500,"Akbari Gate, Chowk",Yes,https://wibest.in/restaurants/lucknow/
Bhola Ki Lassi,Lucknow,Street Food,4.4,Under Rs 500,Chowk,Yes,https://wibest.in/restaurants/lucknow/
Indian Coffee House Lucknow,Lucknow,South Indian | Cafe,4.1,Under Rs 500,Hazratganj,Yes,https://wibest.in/restaurants/lucknow/
Tundey Kababi,Lucknow,Mughlai | Kebabs,4.3,Rs 500-2000,Aminabad,Yes,https://wibest.in/restaurants/lucknow/
Falaknuma Lucknow,Lucknow,North Indian | Mughlai | Fine Dining,4.3,Rs 2000+,"Clarks Avadh, Hazratganj",Yes,https://wibest.in/restaurants/lucknow/
The Mughals Dastarkhwan,Lucknow,Mughlai | Kebabs,4.2,Rs 500-2000,Gomti Nagar,Yes,https://wibest.in/restaurants/lucknow/
Azrak,Lucknow,Mughlai | Fine Dining,4.4,Rs 2000+,"Lebua, Hazratganj",Yes,https://wibest.in/restaurants/lucknow/
Barbeque Nation Lucknow,Lucknow,BBQ | North Indian,4.3,Rs 2000+,Gomti Nagar,Yes,https://wibest.in/restaurants/lucknow/
Cafe Repertwahr,Lucknow,Cafe | Continental,4.4,Rs 500-2000,Gomti Nagar,Yes,https://wibest.in/restaurants/lucknow/
Mocha Hazratganj,Lucknow,Cafe | Italian,4.2,Rs 500-2000,Hazratganj,Yes,https://wibest.in/restaurants/lucknow/
Pind Balluchi Lucknow,Lucknow,North Indian | Punjabi,4.0,Rs 500-2000,Gomti Nagar,Yes,https://wibest.in/restaurants/lucknow/
Mainland China Lucknow,Lucknow,Chinese | Asian,4.3,Rs 2000+,Hazratganj,Yes,https://wibest.in/restaurants/lucknow/
Big Bowl,Lucknow,Chinese | Asian,4.1,Rs 500-2000,Gomti Nagar,Yes,https://wibest.in/restaurants/lucknow/
Cravvings Patisserie,Lucknow,Bakery | Desserts,4.5,Rs 500-2000,Gomti Nagar,Yes,https://wibest.in/restaurants/lucknow/
Chowk by Vineet Bhatia,Lucknow,Modern Indian | Fine Dining,4.4,Rs 2000+,"Renaissance, Vibhuti Khand",Yes,https://wibest.in/restaurants/lucknow/
The Hazratganj Social,Lucknow,North Indian | Continental | Bar,4.2,Rs 500-2000,Hazratganj,Yes,https://wibest.in/restaurants/lucknow/
Sharma Ji Ki Chai,Lucknow,Cafe | Street Food,4.3,Under Rs 500,Lalbagh,Yes,https://wibest.in/restaurants/lucknow/
