name,city,cuisines,rating,budget_tier,address,vegetarian,source
Wind & Waves,Bhopal,Multi-Cuisine | Lakeside | Indian,4.5,Rs 500-2000,"Boat Club Road, Shyamla Hills",Yes,https://wibest.in/restaurants/bhopal/
Under The Mango Tree,Bhopal,North Indian | Mughlai | Continental,4.4,Rs 500-2000,"Jehan Numa Palace Hotel, Shamla Hills",Yes,https://wibest.in/restaurants/bhopal/
La Kuchina,Bhopal,Italian | Pizza | Pasta,4.3,Rs 500-2000,"Plot 30, Press Complex, MP Nagar",No,https://wibest.in/restaurants/bhopal/
Bapu Ki Kutia,Bhopal,North Indian | Vegetarian | Thali,4.4,Under Rs 500,"DB Mall, Arera Hills",No,https://wibest.in/restaurants/bhopal/
Manohar Dairy & Restaurant,Bhopal,South Indian | Vegetarian | Sweets,4.5,Under Rs 500,"Hamidia Road, opposite Bharat Talkies",No,https://wibest.in/restaurants/bhopal/
Filfora,Bhopal,Lebanese | Mediterranean | Cafe,4.4,Rs 500-2000,"E-3/85, Arera Colony",No,https://wibest.in/restaurants/bhopal/
Spice Bazaar,Bhopal,Bhopali | Mughlai | Biryani,4.3,Rs 500-2000,"Hotel Lake View Ashok, Shamla Hills",Yes,https://wibest.in/restaurants/bhopal/
New Inn Cafe,Bhopal,Cafe | Continental | Italian,4.2,Under Rs 500,"Plot 31, Zone-II, MP Nagar",No,https://wibest.in/restaurants/bhopal/
Sagar Gaire,Bhopal,North Indian | Chinese | Fast Food,4.3,Under Rs 500,"Bittan Market, Arera Colony",No,https://wibest.in/restaurants/bhopal/
Indian Coffee House,Bhopal,South Indian | Cafe | Snacks,4.4,Under Rs 500,"Ahmedabad Palace, New Market",No,https://wibest.in/restaurants/bhopal/
