name,city,cuisines,rating,budget_tier,address,vegetarian,source
Dharani,Visakhapatnam,Andhra | South Indian | Seafood,4.4,Rs 500-2000,"Beach Road, Vizag",No,https://wibest.in/restaurants/visakhapatnam/
Barbeque Nation,Visakhapatnam,BBQ | Buffet | Continental,4.3,Rs 500-2000,"Jagadamba Junction, Vizag",Yes,https://wibest.in/restaurants/visakhapatnam/
Sea Inn Restaurant,Visakhapatnam,Andhra | Seafood | South Indian,4.3,Rs 500-2000,"Ramakrishna Beach, Vizag",No,https://wibest.in/restaurants/visakhapatnam/
Saptagiri,Visakhapatnam,South Indian | Vegetarian,4.3,Under Rs 500,"Dwaraka Nagar, Vizag",Yes,https://wibest.in/restaurants/visakhapatnam/
Pulla Reddy Sweets,Visakhapatnam,Sweets | Snacks | Andhra,4.4,Under Rs 500,"Asilmetta, Vizag",Yes,https://wibest.in/restaurants/visakhapatnam/
Bombay Anand Bhavan,Visakhapatnam,South Indian | North Indian | Chinese,4.2,Under Rs 500,"Siripuram, Vizag",Yes,https://wibest.in/restaurants/visakhapatnam/
Sri Subbayya Gari Hotel,Visakhapatnam,Andhra | South Indian,4.3,Rs 500-2000,Dwaraka Nagar,Yes,https://wibest.in/restaurants/visakhapatnam/
Fishermen's Wharf,Visakhapatnam,Seafood | Coastal,4.4,Rs 2000+,Beach Road,Yes,https://wibest.in/restaurants/visakhapatnam/
Eat Street,Visakhapatnam,Street Food | Family,4.2,Rs 500-2000,Beach Road,Yes,https://wibest.in/restaurants/visakhapatnam/
Sahari Restaurant,Visakhapatnam,Andhra | Biryani,4.3,Rs 500-2000,MVP Colony,Yes,https://wibest.in/restaurants/visakhapatnam/
Raju Gari Dhaba,Visakhapatnam,Andhra | South Indian,4.2,Rs 500-2000,Madhurawada,Yes,https://wibest.in/restaurants/visakhapatnam/
Tenali Ramakrishna,Visakhapatnam,Andhra | Biryani,4.1,Rs 500-2000,Dwaraka Nagar,Yes,https://wibest.in/restaurants/visakhapatnam/
Kakatiya Restaurant,Visakhapatnam,Andhra | Hyderabadi,4.2,Rs 500-2000,Daba Gardens,Yes,https://wibest.in/restaurants/visakhapatnam/
Paradise Biryani Vizag,Visakhapatnam,Biryani | Hyderabadi,4.2,Rs 500-2000,Siripuram,Yes,https://wibest.in/restaurants/visakhapatnam/
Bay Leaf Novotel,Visakhapatnam,North Indian | Continental | Fine Dining,4.4,Rs 2000+,"Novotel, Beach Road",Yes,https://wibest.in/restaurants/visakhapatnam/
The Square Novotel,Visakhapatnam,North Indian | South Indian | Family,4.4,Rs 2000+,"Novotel, Beach Road",Yes,https://wibest.in/restaurants/visakhapatnam/
Infinity The Park,Visakhapatnam,North Indian | Continental | Family,4.3,Rs 2000+,"The Park, Beach Road",Yes,https://wibest.in/restaurants/visakhapatnam/
Aqua The Park,Visakhapatnam,Continental | Mediterranean | Fine Dining,4.3,Rs 2000+,"The Park, Beach Road",Yes,https://wibest.in/restaurants/visakhapatnam/
Spice 6,Visakhapatnam,North Indian | Asian | Fine Dining,4.3,Rs 2000+,"Radisson Blu, Rushikonda",Yes,https://wibest.in/restaurants/visakhapatnam/
Dakshin Chola,Visakhapatnam,South Indian | Andhra,4.2,Rs 500-2000,Dwaraka Nagar,Yes,https://wibest.in/restaurants/visakhapatnam/
Pinnacle Revolving Restaurant,Visakhapatnam,North Indian | Continental | Fine Dining,4.2,Rs 2000+,"Daspalla Hotel, Suryabagh",Yes,https://wibest.in/restaurants/visakhapatnam/
Hotel Daspalla,Visakhapatnam,Andhra | North Indian,4.1,Rs 500-2000,Suryabagh,Yes,https://wibest.in/restaurants/visakhapatnam/
Ten Downing Street,Visakhapatnam,Continental | Bar | Pub,4.2,Rs 2000+,Beach Road,Yes,https://wibest.in/restaurants/visakhapatnam/
Sea View Restaurant,Visakhapatnam,Seafood | Family,4.1,Rs 500-2000,Ramakrishna Beach,Yes,https://wibest.in/restaurants/visakhapatnam/
Flying Spaghetti Monster,Visakhapatnam,Italian | Cafe,4.4,Rs 500-2000,Beach Road,Yes,https://wibest.in/restaurants/visakhapatnam/
Cafe Coast 2 Coast,Visakhapatnam,Cafe | Continental,4.3,Rs 500-2000,Siripuram,Yes,https://wibest.in/restaurants/visakhapatnam/
Tiki Bar and Kitchen,Visakhapatnam,Asian | Continental | Bar,4.3,Rs 2000+,Beach Road,Yes,https://wibest.in/restaurants/visakhapatnam/
Nautica Welcomhotel,Visakhapatnam,Continental | Asian | Fine Dining,4.2,Rs 2000+,"Welcomhotel, Beach Road",Yes,https://wibest.in/restaurants/visakhapatnam/
Ulavacharu Vizag,Visakhapatnam,Andhra | Biryani,4.3,Rs 500-2000,Siripuram,Yes,https://wibest.in/restaurants/visakhapatnam/
Ginger Cafe,Visakhapatnam,Cafe | Continental,4.1,Rs 500-2000,Asilmetta,Yes,https://wibest.in/restaurants/visakhapatnam/
