name,city,cuisines,rating,budget_tier,address,vegetarian,source
Sarafa Bazaar (Street Food),Indore,Street Food | Chaat | Indori,4.6,Under Rs 500,"Sarafa Bazaar, Indore",Yes,https://wibest.in/restaurants/indore/
Chappan Dukan,Indore,Street Food | Chaat | Indori,4.5,Under Rs 500,"New Palasia, Indore",Yes,https://wibest.in/restaurants/indore/
Nafees Restaurant,Indore,Mughlai | Biryani | Kebabs,4.3,Rs 500-2000,"South Tukoganj, Indore",No,https://wibest.in/restaurants/indore/
Indori Zaika,Indore,Indori | Street Food | Vegetarian,4.3,Under Rs 500,"Vijay Nagar, Indore",Yes,https://wibest.in/restaurants/indore/
Mehfil,Indore,North Indian | Mughlai,4.3,Rs 500-2000,"AB Road, Indore",No,https://wibest.in/restaurants/indore/
Apna Sweets,Indore,Sweets | Indori | Snacks,4.4,Under Rs 500,"Rajmohalla, Indore",Yes,https://wibest.in/restaurants/indore/
Joshi Dahi Bada House,Indore,Street Food | Chaat,4.4,Under Rs 500,"Chappan Dukan, New Palasia",Yes,https://wibest.in/restaurants/indore/
Vijay Chaat House,Indore,Chaat | Street Food,4.3,Under Rs 500,"Chappan Dukan, New Palasia",Yes,https://wibest.in/restaurants/indore/
Young Tarang,Indore,Chinese | Quick Bites,4.2,Under Rs 500,"Chappan Dukan, New Palasia",Yes,https://wibest.in/restaurants/indore/
Madhuram Sweets,Indore,Sweets | Desserts,4.3,Under Rs 500,"Chappan Dukan, New Palasia",Yes,https://wibest.in/restaurants/indore/
Johnny Hot Dog,Indore,Street Food | Burgers,4.4,Under Rs 500,Sarafa Bazaar,Yes,https://wibest.in/restaurants/indore/
Guru Ki Dal Bafle,Indore,North Indian | Street Food,4.2,Under Rs 500,Sapna Sangeeta Road,Yes,https://wibest.in/restaurants/indore/
Sanchora Castle,Indore,North Indian | Mughlai,4.3,Rs 500-2000,"AB Road, Vijay Nagar",Yes,https://wibest.in/restaurants/indore/
The Olive House,Indore,Italian | Continental,4.4,Rs 500-2000,Vijay Nagar,Yes,https://wibest.in/restaurants/indore/
1st Avenue Cafe,Indore,Cafe | Continental,4.3,Rs 500-2000,Vijay Nagar,Yes,https://wibest.in/restaurants/indore/
Cafe Coffee Affair,Indore,Cafe | Italian,4.2,Rs 500-2000,Vijay Nagar,Yes,https://wibest.in/restaurants/indore/
Shree Sagar Garden,Indore,South Indian | North Indian,4.1,Under Rs 500,Palasia,Yes,https://wibest.in/restaurants/indore/
Status Restaurant,Indore,North Indian | Chinese,4.2,Rs 500-2000,Sapna Sangeeta,Yes,https://wibest.in/restaurants/indore/
Hotel Kalyan,Indore,North Indian | Mughlai,4.1,Under Rs 500,MG Road,Yes,https://wibest.in/restaurants/indore/
Bombay Pav Bhaji,Indore,Street Food | Quick Bites,4.3,Under Rs 500,Sarafa Bazaar,Yes,https://wibest.in/restaurants/indore/
Agarwal Bhojnalaya,Indore,North Indian | Vegetarian,4.2,Under Rs 500,Rajwada,Yes,https://wibest.in/restaurants/indore/
Cafe Terazza,Indore,Continental | Italian,4.3,Rs 500-2000,AB Road,Yes,https://wibest.in/restaurants/indore/
Pind Balluchi Indore,Indore,North Indian | Punjabi,4.1,Rs 500-2000,Vijay Nagar,Yes,https://wibest.in/restaurants/indore/
Imperial Restaurant,Indore,Mughlai | North Indian,4.2,Rs 500-2000,MG Road,Yes,https://wibest.in/restaurants/indore/
Shreemaya Celebration,Indore,North Indian | Family,4.3,Rs 2000+,RNT Marg,Yes,https://wibest.in/restaurants/indore/
Mayur Hotel Veg,Indore,North Indian | South Indian,4.0,Under Rs 500,RNT Marg,Yes,https://wibest.in/restaurants/indore/
Hawkers Restaurant,Indore,Asian | Chinese,4.2,Rs 500-2000,"AB Road, Vijay Nagar",Yes,https://wibest.in/restaurants/indore/
Saravana Bhavan Indore,Indore,South Indian | Vegetarian,4.3,Rs 500-2000,Vijay Nagar,Yes,https://wibest.in/restaurants/indore/
56 Dukan,Indore,Street Food | Chaat,4.4,Under Rs 500,New Palasia,Yes,https://wibest.in/restaurants/indore/
Chappan Bhog,Indore,Sweets | Desserts | Street Food,4.3,Under Rs 500,Sarafa Bazaar,Yes,https://wibest.in/restaurants/indore/
