name,city,cuisines,rating,budget_tier,address,vegetarian,source
Garam Masala,Raipur,North Indian | Mughlai | Tandoor,4.4,Rs 500-2000,"Civil Lines, near Telibandha Talab",No,https://wibest.in/restaurants/raipur/
Chhattisgarh Bhojnalay,Raipur,Chhattisgarhi | Tribal | Thali,4.5,Under Rs 500,"Devendra Nagar, near Magneto Mall",Yes,https://wibest.in/restaurants/raipur/
Mehfil-E-Khaas,Raipur,Mughlai | North Indian | Biryani,4.4,Rs 500-2000,Pandri Bus Stand area,No,https://wibest.in/restaurants/raipur/
Tatva The Multicuisine Restaurant,Raipur,Multi-Cuisine | Continental | Indian,4.4,Rs 2000+,"Hyatt Regency, GE Road",No,https://wibest.in/restaurants/raipur/
Rasoi Express,Raipur,North Indian | South Indian | Multi-Cuisine,4.3,Rs 500-2000,"Magneto Mall, Devendra Nagar",No,https://wibest.in/restaurants/raipur/
Cafe Coffee Day Civil Lines,Raipur,Cafe | Continental | Desserts,4.1,Rs 500-2000,"Civil Lines, near Vidhan Sabha",No,https://wibest.in/restaurants/raipur/
Bawarchi Restaurant,Raipur,North Indian | Mughlai | Vegetarian,4.3,Rs 500-2000,"Shankar Nagar, near Marine Drive",Yes,https://wibest.in/restaurants/raipur/
Sayaji Hotel Restaurant,Raipur,Multi-Cuisine | Continental | Asian,4.4,Rs 2000+,"Sayaji Hotel, VIP Road, Telibandha",No,https://wibest.in/restaurants/raipur/
Annapurna Restaurant,Raipur,Chhattisgarhi | Vegetarian | Thali,4.4,Under Rs 500,"Jaistambh Chowk, near Railway Station",Yes,https://wibest.in/restaurants/raipur/
Cafe Hangout,Raipur,Cafe | Italian | Continental,4.3,Rs 500-2000,"VIP Road, Telibandha",No,https://wibest.in/restaurants/raipur/
