name,city,type,beds,rating,specialties,nabh,address,source
AIIMS Delhi,Delhi,Government,2478,4.8,Cardiology | Neurology | Oncology | Orthopedics | Transplant,true,"Sri Aurobindo Marg, Ansari Nagar, New Delhi 110029",https://wibest.in/hospitals/delhi/
Sir Ganga Ram Hospital,Delhi,Private,675,4.6,Gastroenterology | Nephrology | Cardiology | Oncology,true,"Rajinder Nagar, New Delhi 110060",https://wibest.in/hospitals/delhi/
Max Super Speciality Saket,Delhi,Private,500,4.5,Cardiac Sciences | Neurosciences | Oncology | Orthopedics,true,"1, Press Enclave Marg, Saket, New Delhi 110017",https://wibest.in/hospitals/delhi/
Fortis Escorts Heart Institute,Delhi,Private,310,4.6,Cardiac Surgery | Cardiology | Vascular Surgery,true,"Okhla Road, New Delhi 110025",https://wibest.in/hospitals/delhi/
BLK-Max Super Speciality,Delhi,Private,700,4.4,Bone Marrow Transplant | Oncology | Liver Transplant | Cardiology,true,"Pusa Road, Rajinder Nagar, New Delhi 110005",https://wibest.in/hospitals/delhi/
Safdarjung Hospital,Delhi,Government,1600,4.2,General Medicine | Surgery | Orthopedics | Burns,true,"Ansari Nagar West, New Delhi 110029",https://wibest.in/hospitals/delhi/
Indraprastha Apollo,Delhi,Private,710,4.5,Cardiology | Oncology | Transplant | Robotic Surgery,true,"Mathura Road, Sarita Vihar, New Delhi 110076",https://wibest.in/hospitals/delhi/
RML Hospital,Delhi,Government,1531,4.1,General Medicine | Surgery | Paediatrics | Psychiatry,true,"Baba Kharak Singh Marg, New Delhi 110001",https://wibest.in/hospitals/delhi/
Lok Nayak Hospital,Delhi,Government,2000,4.0,General Medicine | Surgery | Burns | Trauma,true,"Jawaharlal Nehru Marg, New Delhi 110002",https://wibest.in/hospitals/delhi/
Moolchand Hospital,Delhi,Private,250,4.3,Gynaecology | IVF | Orthopedics | Cardiology,true,"Lajpat Nagar III, New Delhi 110024",https://wibest.in/hospitals/delhi/
Rajiv Gandhi Cancer Institute,Delhi,Trust,302,4.6,Oncology | Surgical Oncology | Radiation Oncology,true,"Sector 5, Rohini, New Delhi 110085",https://wibest.in/hospitals/delhi/
Dharamshila Narayana,Delhi,Private,300,4.4,Oncology | Bone Marrow Transplant | Radiation Oncology,true,"Vasundhara Enclave, New Delhi 110096",https://wibest.in/hospitals/delhi/
Primus Super Speciality,Delhi,Private,150,4.3,Bariatric Surgery | Orthopedics | Spine | Urology,true,"2 Chandragupta Marg, Chanakyapuri, New Delhi 110021",https://wibest.in/hospitals/delhi/
Venkateshwar Hospital,Delhi,Private,350,4.3,Cardiac Sciences | Neurology | Joint Replacement | IVF,true,"Sector 18A, Dwarka, New Delhi 110075",https://wibest.in/hospitals/delhi/
LHMC & Sucheta Kriplani,Delhi,Government,800,4.2,Gynaecology | Paediatrics | General Medicine,true,"Bangla Sahib Marg, Connaught Place, New Delhi 110001",https://wibest.in/hospitals/delhi/
GTB Hospital,Delhi,Government,1800,4.0,General Medicine | Surgery | Trauma | Burns,true,"Dilshad Garden, New Delhi 110095",https://wibest.in/hospitals/delhi/
Medanta Gurugram,Gurugram,Private,1500,4.5,Cardiac Surgery | Liver Transplant | Neuroscience | Oncology | Robotic Surgery,true,"CH Baktawar Singh Road, Sector 38, Gurugram 122001",https://wibest.in/hospitals/gurugram/
Fortis Memorial Gurugram,Gurugram,Private,1000,4.4,Oncology | Neurosciences | Orthopedics | Renal Sciences,true,"Sector 44, Gurugram 122002",https://wibest.in/hospitals/gurugram/
Artemis Hospital Gurugram,Gurugram,Private,400,4.3,Cardiac Sciences | Neurology | Oncology | Gastroenterology | Kidney Transplant,true,"Sector 51, Gurugram 122001",https://wibest.in/hospitals/gurugram/
Amrita Hospital Faridabad,Faridabad,Trust,2600,4.3,Cardiology | Oncology | Neurology | Transplant | Robotic Surgery,true,"Sector 88, Faridabad 121002",https://wibest.in/hospitals/faridabad/
