name,city,type,beds,rating,specialties,nabh,address,source
Narayana Health City,Bangalore,Private,3200,4.5,Cardiology | Cardiac Surgery | Oncology | Nephrology | Transplant,true,"258/A, Bommasandra Industrial Area, Hosur Road, Bangalore 560099",https://wibest.in/hospitals/bangalore/
NIMHANS,Bangalore,Government,897,4.6,Psychiatry | Neurology | Neurosurgery | Clinical Psychology,true,"Hosur Road, Lakkasandra, Wilson Garden, Bangalore 560029",https://wibest.in/hospitals/bangalore/
Manipal Hospital Old Airport Rd,Bangalore,Private,650,4.4,Transplant | Oncology | Cardiology | Neurology | Gastroenterology,true,"98, HAL Old Airport Road, Kodihalli, Bangalore 560017",https://wibest.in/hospitals/bangalore/
Aster CMI Hospital,Bangalore,Private,500,4.4,Cardiac Sciences | Neurology | Oncology | Gastroenterology | Transplant,true,"43/2, NH-7, Hebbal Sahakar Nagar, Bangalore 560092",https://wibest.in/hospitals/bangalore/
Fortis Bannerghatta,Bangalore,Private,400,4.3,Cardiac Sciences | Neurology | Oncology | Orthopedics | Transplant,true,"154/9, Bannerghatta Road, Opp IIM, Bangalore 560076",https://wibest.in/hospitals/bangalore/
Apollo Bannerghatta,Bangalore,Private,300,4.4,Cardiac Sciences | Neurology | Oncology | Transplant | Robotic Surgery,true,"154/11, Bannerghatta Road, Opp IIM, Bangalore 560076",https://wibest.in/hospitals/bangalore/
Sakra World Hospital,Bangalore,Private,300,4.3,Orthopedics | Cardiac Sciences | Neurology | Oncology | Gastroenterology,true,"SY No 52/2 & 52/3, Devarabeesanahalli, Marathahalli, Bangalore 560103",https://wibest.in/hospitals/bangalore/
Jayadeva Institute,Bangalore,Government,700,4.5,Cardiology | Cardiac Surgery | Paediatric Cardiac,true,"Bannerghatta Road, Jayanagar 9th Block, Bangalore 560069",https://wibest.in/hospitals/bangalore/
Kidwai Memorial Hospital,Bangalore,Government,650,4.2,Oncology | Surgical Oncology | Radiation Oncology,true,"Dr MH Marigowda Road, Bangalore 560029",https://wibest.in/hospitals/bangalore/
St. Johns Medical College,Bangalore,Trust,1250,4.4,General Medicine | Surgery | Paediatrics | Cardiac Sciences | Oncology,true,"Sarjapur Road, John Nagar, Koramangala, Bangalore 560034",https://wibest.in/hospitals/bangalore/
HCG Cancer Centre,Bangalore,Private,200,4.5,Oncology | Radiation Oncology | Bone Marrow Transplant | Surgical Oncology,true,"HCG Tower, 8, P Kalinga Rao Road, Sampangi Rama Nagar, Bangalore 560027",https://wibest.in/hospitals/bangalore/
BGS Gleneagles,Bangalore,Private,500,4.3,Cardiac Sciences | Neurology | Orthopedics | Oncology | Gastroenterology,true,"67, Uttarahalli Road, Kengeri, Bangalore 560060",https://wibest.in/hospitals/bangalore/
MS Ramaiah Memorial,Bangalore,Private,800,4.3,General Medicine | Surgery | Cardiac Sciences | Neurology | Oncology,true,"MSR Nagar, Mathikere, Bangalore 560054",https://wibest.in/hospitals/bangalore/
Mazumdar Shaw Medical Centre,Bangalore,Trust,1400,4.5,Oncology | Bone Marrow Transplant | Cardiac Sciences | Neurology | Transplant,true,"258/A, Bommasandra Industrial Area, Bangalore 560099",https://wibest.in/hospitals/bangalore/
Sparsh Hospital,Bangalore,Private,200,4.3,Orthopedics | Joint Replacement | Spine | Sports Medicine | Trauma,true,"146, Infantry Road, Bangalore 560001",https://wibest.in/hospitals/bangalore/
Columbia Asia Whitefield,Bangalore,Private,150,4.2,General Medicine | Orthopedics | Gastroenterology | Gynaecology | Paediatrics,true,"Survey No 10P & 12P, Ramagondanahalli, Whitefield, Bangalore 560066",https://wibest.in/hospitals/bangalore/
Vikram Hospital,Bangalore,Private,200,4.2,Cardiac Sciences | Neurology | Orthopedics | Gastroenterology | Renal Sciences,true,"71/1, Millers Road, Vasanth Nagar, Bangalore 560052",https://wibest.in/hospitals/bangalore/
Sagar Hospitals,Bangalore,Private,250,4.2,Cardiac Sciences | Neurology | Orthopedics | Gastroenterology | Oncology,true,"Shavige Malleshwara Hills, Kumaraswamy Layout, Bangalore 560078",https://wibest.in/hospitals/bangalore/
Bangalore Baptist Hospital,Bangalore,Trust,400,4.3,General Medicine | Surgery | Orthopedics | Gynaecology | Paediatrics,true,"Bellary Road, Hebbal, Bangalore 560024",https://wibest.in/hospitals/bangalore/
Ramaiah Narayana Heart Centre,Bangalore,Private,250,4.4,Cardiac Surgery | Cardiology | Vascular Surgery,true,"MSR Nagar, MSRIT Post, Bangalore 560054",https://wibest.in/hospitals/bangalore/
Cytecare Cancer Hospital,Bangalore,Private,150,4.5,Oncology | Surgical Oncology | Radiation Oncology | Bone Marrow Transplant,true,"Venkatala Village, Near NMIT, Bagalur Cross, Yelahanka, Bengaluru 560064",https://wibest.in/hospitals/bangalore/
Rainbow Children's Hospital Marathahalli,Bangalore,Private,200,4.4,Paediatrics | Neonatology | Gynaecology | Maternity | IVF,true,"Survey No 8/5, KR Puram, Dr Puneeth Rajkumar Rd, Doddanekundi, Marathahalli, Bengaluru 560037",https://wibest.in/hospitals/bangalore/
Cloudnine Hospital Jayanagar,Bangalore,Private,100,4.5,Maternity | Gynaecology | Neonatology | Paediatrics | IVF,true,"#1533, 9th Main, 3rd Block, Jayanagar, Bengaluru 560011",https://wibest.in/hospitals/bangalore/
People Tree Hospitals Yeshwanthpur,Bangalore,Private,250,4.3,Cardiology | Orthopedics | Gastroenterology | Neurology | General Medicine | Critical Care,true,"2, Tumkur Rd, Next to Goraguntepalya Metro Station, Yeshwanthpur, Bengaluru 560022",https://wibest.in/hospitals/bangalore/
