name,city,cuisines,rating,budget_tier,address,vegetarian,source
Paradise Biryani,Hyderabad,Biryani | Mughlai,4.5,Under Rs 500,"MG Road, Secunderabad",Yes,https://wibest.in/restaurants/hyderabad/
Bawarchi,Hyderabad,Biryani | North Indian,4.3,Under Rs 500,"RTC X Roads, Hyderabad",Yes,https://wibest.in/restaurants/hyderabad/
Shah Ghouse,Hyderabad,Biryani | Mughlai | Haleem,4.4,Under Rs 500,"Tolichowki, Hyderabad",Yes,https://wibest.in/restaurants/hyderabad/
Chutneys,Hyderabad,South Indian | Vegetarian,4.4,Under Rs 500,"Banjara Hills, Hyderabad",Yes,https://wibest.in/restaurants/hyderabad/
Ohri's Jiva Imperia,Hyderabad,Fine Dining | Continental | North Indian,4.3,Rs 2000+,"Banjara Hills, Hyderabad",Yes,https://wibest.in/restaurants/hyderabad/
Absolute Barbecues,Hyderabad,BBQ | Continental | North Indian,4.4,Rs 500-2000,"Jubilee Hills, Hyderabad",Yes,https://wibest.in/restaurants/hyderabad/
Kritunga,Hyderabad,Andhra | South Indian,4.3,Under Rs 500,"Kukatpally, Hyderabad",Yes,https://wibest.in/restaurants/hyderabad/
Pista House,Hyderabad,Biryani | Haleem | Mughlai,4.3,Under Rs 500,"Nampally, Hyderabad",Yes,https://wibest.in/restaurants/hyderabad/
Jewel of Nizam,Hyderabad,Hyderabadi | Biryani | Fine Dining,4.6,Rs 2000+,"The Golkonda, Masab Tank",Yes,https://wibest.in/restaurants/hyderabad/
Firdaus,Hyderabad,Hyderabadi | Mughlai | Fine Dining,4.5,Rs 2000+,"Taj Krishna, Banjara Hills",Yes,https://wibest.in/restaurants/hyderabad/
Adaa,Hyderabad,Hyderabadi | North Indian | Fine Dining,4.6,Rs 2000+,Taj Falaknuma Palace,Yes,https://wibest.in/restaurants/hyderabad/
Celeste,Hyderabad,Italian | Continental | Fine Dining,4.5,Rs 2000+,Taj Falaknuma Palace,Yes,https://wibest.in/restaurants/hyderabad/
Dakshin Hyderabad,Hyderabad,South Indian | Chettinad | Fine Dining,4.5,Rs 2000+,"ITC Kakatiya, Begumpet",Yes,https://wibest.in/restaurants/hyderabad/
Cafe Bahar,Hyderabad,Biryani | Hyderabadi | Kebabs,4.3,Rs 500-2000,Basheerbagh,Yes,https://wibest.in/restaurants/hyderabad/
Hotel Shadab,Hyderabad,Biryani | Hyderabadi | Mughlai,4.3,Rs 500-2000,"Ghansi Bazar, Charminar",Yes,https://wibest.in/restaurants/hyderabad/
Mehfil Restaurant Hyderabad,Hyderabad,North Indian | Biryani | Mughlai,4.2,Rs 500-2000,Ameerpet,Yes,https://wibest.in/restaurants/hyderabad/
Olive Bistro,Hyderabad,Italian | Mediterranean | Fine Dining,4.5,Rs 2000+,"Durgam Cheruvu, Jubilee Hills",Yes,https://wibest.in/restaurants/hyderabad/
Fusion 9,Hyderabad,Continental | Asian | Italian,4.4,Rs 2000+,"Road No 1, Banjara Hills",Yes,https://wibest.in/restaurants/hyderabad/
Barbeque Nation Hyderabad,Hyderabad,BBQ | North Indian | Family,4.3,Rs 500-2000,Banjara Hills,Yes,https://wibest.in/restaurants/hyderabad/
Deccan Pavilion,Hyderabad,North Indian | South Indian | Family,4.3,Rs 2000+,"ITC Kakatiya, Begumpet",Yes,https://wibest.in/restaurants/hyderabad/
Ulavacharu Hyderabad,Hyderabad,Andhra | South Indian | Biryani,4.3,Rs 500-2000,Jubilee Hills,Yes,https://wibest.in/restaurants/hyderabad/
Spicy Venue,Hyderabad,Andhra | Hyderabadi | Biryani,4.2,Rs 500-2000,Jubilee Hills,Yes,https://wibest.in/restaurants/hyderabad/
Southern Spice Hyderabad,Hyderabad,Andhra | South Indian | Chettinad,4.3,Rs 500-2000,Banjara Hills,Yes,https://wibest.in/restaurants/hyderabad/
Sahib's Barbeque,Hyderabad,BBQ | North Indian | Kebabs,4.2,Rs 500-2000,Gachibowli,Yes,https://wibest.in/restaurants/hyderabad/
Roastery Coffee House,Hyderabad,Cafe | Continental | Bakery,4.5,Rs 500-2000,Banjara Hills,Yes,https://wibest.in/restaurants/hyderabad/
Concu,Hyderabad,Cafe | Bakery | Desserts,4.6,Rs 500-2000,Jubilee Hills,Yes,https://wibest.in/restaurants/hyderabad/
Prost Brew Pub,Hyderabad,Brewery | Continental | Bar,4.3,Rs 2000+,Gachibowli,Yes,https://wibest.in/restaurants/hyderabad/
Hard Rock Cafe Hyderabad,Hyderabad,Continental | American | Bar,4.4,Rs 2000+,"GVK One Mall, Banjara Hills",Yes,https://wibest.in/restaurants/hyderabad/
Mainland China Hyderabad,Hyderabad,Chinese | Asian | Family,4.3,Rs 2000+,Banjara Hills,Yes,https://wibest.in/restaurants/hyderabad/
Tatva,Hyderabad,Vegetarian | North Indian | Fine Dining,4.3,Rs 2000+,Jubilee Hills,Yes,https://wibest.in/restaurants/hyderabad/
