name,city,cuisines,rating,budget_tier,address,vegetarian,source
Kaveri Restaurant,Ranchi,North Indian | Mughlai | Tandoor,4.4,Rs 500-2000,"Main Road, near Albert Ekka Chowk",No,https://wibest.in/restaurants/ranchi/
Jharkhand Tribal Kitchen,Ranchi,Jharkhandi | Tribal | Local,4.5,Rs 500-2000,"Argora Square, near Birsa Park",No,https://wibest.in/restaurants/ranchi/
Capitol Hill Hotel Restaurant,Ranchi,Multi-Cuisine | Continental | Indian,4.3,Rs 500-2000,"Main Road, Sujata Chowk",No,https://wibest.in/restaurants/ranchi/
Yellow Sapphire,Ranchi,Multi-Cuisine | Continental | Asian,4.4,Rs 2000+,"Radisson Blu, Main Road",No,https://wibest.in/restaurants/ranchi/
Punjabi Rasoi,Ranchi,Punjabi | North Indian | Tandoor,4.3,Rs 500-2000,"Lalpur Chowk, Kanke Road",No,https://wibest.in/restaurants/ranchi/
Cafe Regal,Ranchi,Cafe | Continental | Italian,4.3,Rs 500-2000,"Main Road, near Hotel BNR Chanakya",No,https://wibest.in/restaurants/ranchi/
Hotel Yuvraj Restaurant,Ranchi,North Indian | Bengali | Mughlai,4.2,Rs 500-2000,"Doranda, near Big Bazaar",No,https://wibest.in/restaurants/ranchi/
Domino's Pizza Lalpur,Ranchi,Italian | Pizza | Fast Food,4.1,Rs 500-2000,"Lalpur, near Albert Ekka Chowk",No,https://wibest.in/restaurants/ranchi/
Litti Galli,Ranchi,Bihari | Jharkhandi | Litti Chokha,4.4,Under Rs 500,"Kachehri Chowk, near Jail Chowk",No,https://wibest.in/restaurants/ranchi/
The Big Banyan,Ranchi,Multi-Cuisine | Continental | Indian,4.3,Rs 500-2000,"Ranchi Club Road, near Albert Ekka Chowk",No,https://wibest.in/restaurants/ranchi/
